TIMESTEP,VTYPE,VID,SAMPLE,RUN,CS,TIME1,DO1,TEMP1,TIME2,DO2,TEMP2,TIME3,DO3,TEMP3,TIME4,DO4,TEMP4,TIME5,DO5,TEMP5,TIME6,DO6,TEMP6,TIME7,DO7,TEMP7,BW (g),WW (g),Diam,Height,GF,SOMF,GF_G,SOMF_SOM,GF_AFG,SOMF_AFSOM,Color,GrazingCorr_gWWperday,TRT,STYPE
1,S,3,CONT1_1,1,C,10:30,5.69,11.7,10:39,5.69,11.6,10:44,5.65,11.6,10:49,5.62,11.6,10:53,5.6,11.7,10:57,5.58,11.7,11:02,5.59,11.7,,,,,,,,,,,,,7,C
1,S,2,CONT1_10,10,C,10:26,4.74,11.6,10:31,4.74,11.6,10:35,4.75,11.6,10:39,4.73,11.6,10:42,4.71,11.6,10:46,4.71,11.6,10:50,4.71,11.6,,,,,,,,,,,,,7,C
1,S,1,CONT1_11,11,C,11:08,6.01,12.5,11:11,5.96,12.7,11:16,5.95,12.7,11:20,5.93,12.7,11:24,5.94,12.7,11:28,5.93,12.7,11:32,5.96,12.7,,,,,,,,,,,,,7,C
1,S,3,CONT1_12,12,C,11:49,6.11,12.8,11:54,6.12,12.7,11:58,6.09,12.7,12:01,6.07,12.6,12:05,6.07,12.7,12:09,6.06,12.7,12:13,6.07,12.7,,,,,,,,,,,,,7,C
1,S,3,CONT1_2,2,C,10:30,5.31,11.8,10:39,5.3,11.8,10:44,5.33,11.8,10:49,5.31,11.8,10:53,5.33,11.8,10:57,5.33,11.8,11:02,5.34,11.8,,,,,,,,,,,,,7,C
1,S,3,CONT1_3,3,C,12:27,7.34,13.3,12:32,7.3,13.4,12:37,7.3,13.5,12:42,7.33,13.5,12:46,7.31,13.5,12:51,7.33,13.5,12:54,7.35,13.5,,,,,,,,,,,,,7,C
1,S,3,CONT1_4,4,C,14:03,7.86,13.6,14:07,7.9,13.6,14:11,7.87,13.6,14:16,7.84,13.6,14:20,7.83,13.6,14:25,7.84,13.6,14:29,7.87,13.6,,,,,,,,,,,,,7,C
1,S,2,CONT1_5,5,C,10:02,4.37,11.2,10:08,4.33,11.3,10:13,4.31,11.4,10:19,4.37,11.1,10:25,4.32,11.3,10:29,4.32,11.4,10:33,4.34,11.3,,,,,,,,,,,,,7,C
1,S,2,CONT1_6,6,C,10:52,4.25,11.3,10:56,4.25,11.3,11:00,4.23,11.4,11:04,4.23,11.4,11:08,4.23,11.4,11:12,4.23,11.4,11:15,4.23,11.4,,,,,,,,,,,,,7,C
1,S,3,CONT1_7,7,C,11:34,5.35,12.3,11:38,5.35,12.4,11:42,5.35,12.4,11:47,5.35,12.5,11:50,5.35,12.6,11:54,5.37,12.6,11:58,5.36,12.6,,,,,,,,,,,,,7,C
