TIMESTEP,VTYPE,VID,SAMPLE,RUN,CS,TIME1,DO1,TEMP1,TIME2,DO2,TEMP2,TIME3,DO3,TEMP3,TIME4,DO4,TEMP4,TIME5,DO5,TEMP5,TIME6,DO6,TEMP6,TIME7,DO7,TEMP7,BW (g),WW (g),Diam,Height,GF,SOMF,GF_G,SOMF_SOM,GF_AFG,SOMF_AFSOM,COLOR,GrazingCorr_gWWperday,TRT,STYPE
1,S,1,1ATP01,1,S,10:57,7.45,12.6,11:10,7.19,12.5,11:19,7.04,12.5,11:27,6.89,12.5,11:35,6.73,12.5,11:42,6.62,12.5,11:48,6.49,12.5,1.2838,2.9778,19,14,NA,NA,NA,NA,NA,NA,W,0.000819115,1,S
1,S,5,1ATP04,1,S,11:00,7.31,12.5,11:11,6.98,12.5,11:20,6.78,12.5,11:28,6.55,12.5,11:36,6.34,12.5,11:42,6.21,12.5,11:50,6.07,12.5,1.0536,2.8283,20.5,14,NA,NA,NA,NA,NA,NA,W,0.014181334,1,S
1,S,6,1ATP05,1,S,11:00,7.25,12.5,11:12,6.84,12.5,11:20,6.59,12.5,11:28,6.41,12.5,11:37,6.18,12.5,11:43,6.04,12.5,11:50,5.86,12.5,1.1428,2.9178,20.5,14.5,NA,NA,NA,NA,NA,NA,W,0.008322169,1,S
1,S,7,1ATP06,1,S,11:00,7.46,12.5,11:12,7.23,12.5,11:20,7.12,12.5,11:29,6.95,12.5,11:37,6.82,12.5,11:43,6.76,12.5,11:50,6.69,12.5,0.6893,1.6422,17.5,11,NA,NA,NA,NA,NA,NA,W,0.01543347,1,S
1,S,8,1ATP07,1,S,11:01,7.36,12.5,11:12,7.05,12.5,11:21,6.84,12.5,11:29,6.7,12.5,11:37,6.57,12.5,11:44,6.45,12.5,11:50,6.41,12.5,0.8618,2.1005,19,12,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,9,1ATP08,1,S,11:02,7.35,12.5,11:13,6.89,12.5,11:21,6.61,12.5,11:29,6.29,12.5,11:37,6.06,12.5,11:44,5.79,12.5,11:51,5.6,12.5,1.4795,3.7161,22,14,NA,NA,NA,NA,NA,NA,W,0,1,S
1,S,10,1ATP09,1,S,11:02,7.49,12.5,11:14,7.23,12.5,11:22,7.07,12.5,11:30,6.96,12.5,11:38,6.87,12.5,11:45,6.78,12.5,11:51,6.68,12.5,1.2107,3.0437,21,15,NA,NA,NA,NA,NA,NA,G,0.003065275,1,S
1,S,11,1ATP10,1,S,,,,,,,,,,,,,,,,,,,,,12.5,1.093,2.837,21,13,NA,NA,NA,NA,NA,NA,G,NA,1,S
1,S,12,1BTP11,1,S,11:03,7.62,12.5,11:15,7.17,12.5,11:23,7,12.5,11:30,6.81,12.5,11:38,6.58,12.5,11:45,6.38,12.5,11:52,6.22,12.5,1.2079,2.9707,21,14,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,13,1BTP12,1,S,11:03,7.83,12.5,11:16,7.42,12.5,11:23,7.25,12.5,11:30,7.07,12.5,11:38,6.94,12.5,11:46,6.82,12.5,11:52,6.69,12.5,1.0551,2.6265,19.5,14.5,NA,NA,NA,NA,NA,NA,G,NA,1,S
1,S,14,1BTP13,1,S,11:04,,12.5,11:16,6.99,12.5,11:23,6.74,12.5,11:31,6.49,12.5,11:38,6.15,12.5,11:46,5.93,12.5,11:52,5.74,12.5,1.6726,3.9479,21,14,NA,NA,NA,NA,NA,NA,W,0.043540191,1,S
1,S,15,1BTP14,1,S,11:04,8.33,12.5,11:17,7.85,12.5,11:24,7.65,12.5,11:31,7.4,12.5,11:39,7.15,12.5,11:46,6.92,12.5,11:52,6.75,12.5,1.4779,3.5168,21,15.5,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,16,1BTP15,1,S,11:04,8.17,12.5,11:17,7.64,12.5,11:25,7.36,12.5,11:31,7.13,12.5,11:40,6.84,12.5,11:47,6.66,12.5,11:53,6.48,12.5,1.8073,4.3257,22,16,NA,NA,NA,NA,NA,NA,G,0.080182743,1,S
1,S,4,1BTP16,1,S,10:58,7.91,12.6,11:11,7.42,12.5,11:19,7.21,12.5,11:28,6.97,12.5,11:36,6.81,12.5,11:42,6.67,12.5,11:49,6.56,12.5,0.629,1.5083,17.5,11,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,19,1BTP17,1,S,11:05,7.94,12.5,11:17,7.38,12.5,11:25,7.1,12.5,11:32,6.9,12.3,11:40,6.71,12.5,11:47,6.56,12.5,11:53,6.45,12.5,1.5253,3.8371,22,15,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,20,1BTP18,1,S,11:05,9.13,12.5,11:17,8.43,12.5,11:26,8.26,12.5,11:33,8.12,12.5,11:40,7.94,12.5,11:47,7.82,12.5,11:53,7.67,12.5,0.8267,2.0873,19,12,NA,NA,NA,NA,NA,NA,G,0.02604963,1,S
1,S,1,1BTP19,2,S,12:32,7.62,12.5,12:42,7.42,12.5,12:50,7.25,12.5,12:59,7.13,12.5,13:10,6.96,12.4,13:21,6.78,12.4,13:33,6.57,12.4,0.7433,1.9,19,11.5,NA,NA,NA,NA,NA,NA,G,0.029544907,1,S
1,S,2,1BTP20,2,S,12:32,7.31,12.5,12:42,7.05,12.5,12:50,6.91,12.5,13:00,6.7,12.5,13:11,6.63,12.4,13:22,6.47,12.4,13:33,6.29,12.4,1.6899,4.3107,23,16,NA,NA,NA,NA,NA,NA,G,0.035602087,1,S
1,S,3,1CTP21,2,S,12:33,7.42,12.5,12:43,7.2,12.4,12:51,7.09,12.4,13:00,6.95,12.5,13:12,6.81,12.4,13:22,6.67,12.4,13:34,6.43,12.4,1.1475,2.8573,20.5,14,NA,NA,NA,NA,NA,NA,G,0.012983155,1,S
1,S,4,1CTP22,2,S,12:33,7.3,12.5,12:43,7.08,12.5,12:51,6.95,12.5,13:00,6.81,12.5,13:12,6.69,12.5,13:23,6.52,12.4,13:35,6.36,12.5,1.1205,3.0535,22,15,NA,NA,NA,NA,NA,NA,G,0.048454211,1,S
1,S,5,1CTP23,2,S,12:34,7.61,12.5,12:43,7.4,12.5,12:52,7.27,12.5,13:01,7.12,12.5,13:13,6.89,12.5,13:24,6.71,12.4,13:35,6.54,12.5,1.1776,3.0274,21,16,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,6,1CTP24,2,S,12:34,7.61,12.5,12:44,7.43,12.5,12:52,7.3,12.5,13:01,7.18,12.5,13:13,7.02,12.4,13:24,6.87,12.4,13:36,6.67,12.5,0.7643,2.015,18,12,NA,NA,NA,NA,NA,NA,W,0,1,S
1,S,7,1CTP25,2,S,12:35,7.37,12.5,12:44,7.19,12.5,12:52,6.98,12.5,13:02,6.79,12.5,13:13,6.56,12.5,13:25,6.36,12.4,13:36,6.11,12.5,0.7537,2.0569,19.5,13,NA,NA,NA,NA,NA,NA,G,0.001520199,1,S
1,S,8,1CTP26,2,S,12:35,7.32,12.4,12:44,7.06,12.5,12:53,6.91,12.4,13:03,6.73,12.4,13:14,6.62,12.4,13:25,6.48,12.4,13:37,6.35,12.4,1.2933,3.306,21,16,NA,NA,NA,NA,NA,NA,W,0.040501307,1,S
1,S,9,1CTP27,2,S,12:36,7.29,12.5,12:45,6.93,12.5,12:53,6.75,12.4,13:03,6.56,12.4,13:15,6.36,12.4,13:26,6.13,12.4,13:38,5.95,12.4,2.1947,5.3196,24,17,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,10,1CTP28,2,S,12:36,7.29,12.5,12:45,6.96,12.5,12:54,6.71,12.4,13:03,6.54,12.5,13:15,6.15,12.5,13:27,5.86,12.4,13:38,5.58,12.4,1.6314,4.0096,23,16,NA,NA,NA,NA,NA,NA,W,0.181056477,1,S
1,S,11,1CTP29,2,S,12:37,7.29,12.5,12:46,7.02,12.4,12:55,6.76,12.4,13:04,6.63,12.4,13:16,6.46,12.4,13:27,6.31,12.5,13:39,6.15,12.4,1.3367,3.3916,20.5,16,NA,NA,NA,NA,NA,NA,W,0.008333088,1,S
1,S,12,1CTP30,2,S,12:38,7.62,12.5,12:46,7.42,12.4,12:55,7.21,12.4,13:05,7,12.4,13:16,6.83,12.4,13:27,6.62,12.4,13:40,6.39,12.4,1.3044,3.1208,20,14,NA,NA,NA,NA,NA,NA,G,0,1,S
1,S,13,2ATP01,2,S,12:28,7.92,12.5,12:47,7.76,12.4,12:55,7.59,12.4,13:05,7.41,12.5,13:16,7.24,12.4,13:28,7.09,12.4,13:40,6.99,12.4,0.6191,1.6014,18,11,NA,NA,NA,NA,NA,NA,W,0,2,S
1,S,14,2ATP02,2,S,12:39,8.38,12.5,12:47,8.19,12.4,12:56,8.06,12.4,13:06,7.87,12.5,13:17,7.76,12.4,13:29,7.62,12.4,13:41,7.49,12.4,0.5103,1.2452,16,11,NA,NA,NA,NA,NA,NA,W,0.248084712,2,S
1,S,15,2ATP03,2,S,12:39,8.09,12.5,12:47,7.86,12.4,12:56,7.65,12.4,13:06,7.45,12.5,13:17,7.3,12.4,13:29,7.14,12.4,13:41,6.98,12.4,1.1167,2.8605,21,14,NA,NA,NA,NA,NA,NA,G,0,2,S
1,S,16,2ATP04,2,S,12:40,8.26,12.5,12:48,8.01,12.5,12:57,7.87,12.5,13:07,7.69,12.4,13:18,7.58,12.4,13:30,7.41,12.4,13:43,7.24,12.4,1.2232,3.1637,21,13.5,NA,NA,NA,NA,NA,NA,G,0.058180038,2,S
1,S,19,2ATP05,2,S,12:40,7.84,12.5,12:49,7.52,12.4,12:58,7.23,12.5,13:09,6.99,12.5,13:20,6.71,12.4,13:31,6.47,12.4,13:44,6.24,12.4,1.2218,3.0932,20,15,NA,NA,NA,NA,NA,NA,W,0.006769899,2,S
