TIMESTEP,VTYPE,VID,SAMPLE,RUN,CS,TIME1,DO1,TEMP1,TIME2,DO2,TEMP2,TIME3,DO3,TEMP3,TIME4,DO4,TEMP4,TIME5,DO5,TEMP5,TIME6,DO6,TEMP6,TIME7,DO7,TEMP7,BW (g),WW (g),Diam,Height,GF,SOMF,GF_G,SOMF_SOM,GF_AFG,SOMF_AFSOM,Color,GrazingCorr_gWWperday,TRT,STYPE
1,S,3,CONT1_1,1,C,9:53,4.73,11.7,9:58,4.72,11.7,10:03,4.71,11.7,10:08,4.67,11.7,10:13,4.68,11.7,10:17,4.69,11.7,10:22,4.68,11.7,,,,,,,,,,,,,7,C
1,S,3,CONT1_10,10,C,10:50,4.87,11.6,10:55,4.86,11.6,11:00,4.83,11.6,11:05,4.83,11.6,11:11,4.84,11.6,11:16,4.84,11.6,11:21,4.83,11.6,,,,,,,,,,,,,7,C
1,S,1,CONT1_11,11,C,11:50,6.77,13,11:56,6.71,13,12:02,6.69,13,12:07,6.66,13,12:13,6.68,13,12:18,6.66,13,12:24,6.66,13,,,,,,,,,,,,,7,C
1,S,1,CONT1_12,12,C,13:47,6.99,13.1,13:52,6.9,13.1,13:58,6.84,13.1,14:03,6.81,13.1,14:09,6.79,13.1,14:14,6.77,13.1,14:19,6.77,13.1,,,,,,,,,,,,,7,C
1,S,3,CONT1_2,2,C,10:44,4.74,11.6,10:49,4.74,11.6,10:53,4.74,11.6,10:58,4.74,11.6,11:03,4.74,11.6,11:07,4.74,11.6,11:12,4.75,11.6,,,,,,,,,,,,,7,C
1,S,1,CONT1_3,3,C,11:38,6.57,13.5,11:43,6.56,13.5,11:48,6.58,13.5,11:52,6.6,13.5,11:57,6.59,13.5,12:03,6.61,13.5,12:08,6.6,13.5,,,,,,,,,,,,,7,C
1,S,2,CONT1_4,4,C,12:30,6.71,13.6,12:35,6.72,13.5,12:40,6.71,13.5,12:45,6.7,13.6,12:50,6.72,13.5,12:54,6.69,13.6,12:58,6.69,13.5,,,,,,,,,,,,,7,C
1,S,2,CONT1_5,5,C,10:18,4.44,11.3,10:23,4.4,11.3,10:28,4.37,11.3,10:34,4.37,11.4,10:40,4.33,11.3,10:46,4.33,11.3,10:52,4.34,11.3,,,,,,,,,,,,,7,C
1,S,1,CONT1_6,6,C,11:10,4.21,11.3,11:15,4.21,11.3,11:21,4.21,11.3,11:27,4.22,11.3,11:34,4.23,11.3,11:40,4.24,11.3,11:46,4.25,11.3,,,,,,,,,,,,,7,C
1,S,1,CONT1_7,7,C,13:48,5.77,12.6,13:54,5.74,12.6,13:59,5.73,12.5,14:03,5.72,12.5,14:10,5.71,12.5,14:15,5.7,12.5,14:21,5.71,12.5,,,,,,,,,,,,,7,C
1,S,2,CONT1_8,8,C,14:39,5.49,12.5,14:46,5.46,12.5,14:52,5.45,12.5,14:57,5.42,12.5,15:02,5.43,12.5,15:07,5.41,12.5,15:14,5.41,12.5,,,,,,,,,,,,,7,C
1,S,1,CONT1_9,9,C,9:54,5.05,11.9,10:00,5.04,11.8,10:06,5.04,11.7,10:12,5.01,11.7,10:18,5,11.7,10:23,5.01,11.6,10:30,5.01,11.6,,,,,,,,,,,,,7,C
1,S,7,CONT2_1,1,C,9:54,4.83,11.7,9:59,4.81,11.7,10:05,4.79,11.7,10:09,4.77,11.7,10:14,4.77,11.7,10:18,4.77,11.7,10:23,4.77,11.7,,,,,,,,,,,,,7,C
1,S,7,CONT2_10,10,C,10:51,5.09,11.6,10:56,5.11,11.6,11:01,5.07,11.6,11:06,5.06,11.6,11:12,5.13,11.6,11:17,5.08,11.6,11:22,5.08,11.6,,,,,,,,,,,,,7,C
1,S,10,CONT2_11,11,C,11:53,6.99,13,11:59,6.89,13,12:04,6.85,13,12:10,6.85,13,12:15,6.83,13,12:21,6.81,13,12:26,6.81,13,,,,,,,,,,,,,7,C
1,S,13,CONT2_12,12,C,13:50,6.93,13.1,13:56,6.84,13.1,14:01,6.76,13.1,14:07,6.73,13.1,14:12,6.7,13.1,14:17,6.69,13.1,14:23,6.67,13.1,,,,,,,,,,,,,7,C
1,S,9,CONT2_2,2,C,10:45,5.04,11.6,10:50,5.02,11.6,10:55,5.02,11.6,11:00,5,11.6,11:04,5.01,11.6,11:09,5.01,11.6,11:13,5,11.6,,,,,,,,,,,,,7,C
1,S,11,CONT2_3,3,C,11:41,6.68,13.5,11:45,6.71,13.5,11:50,6.71,13.5,11:55,6.73,13.5,12:00,6.72,13.5,12:05,6.73,13.5,12:10,6.72,13.5,,,,,,,,,,,,,7,C
1,S,6,CONT2_4,4,C,12:31,6.79,13.5,12:37,6.78,13.6,12:41,6.78,13.5,12:46,6.72,13.6,12:50,6.75,13.5,12:55,6.76,13.6,12:59,6.74,13.5,,,,,,,,,,,,,7,C
1,S,10,CONT2_5,5,C,10:20,4.48,11.3,10:25,4.44,11.3,10:30,4.42,11.3,10:36,4.4,11.4,10:43,4.41,11.3,10:49,4.42,11.3,10:54,4.41,11.3,,,,,,,,,,,,,7,C
