SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737962.3979,67.2,89.9,NaN,74.6,70.8,79.1,58.6,22.8,11.7,11.7,NaN,11,11.3,11,11.1,10,178.8016983,239.2004862,NaN,201.4512959,189.9761683,213.6031837,157.9084477,62.90649974,5.587902315,7.475482412,NaN,6.295746481,5.93712633,6.675516711,4.934947425,1.965950989,1,0,1,0,1,1,0,1
737962.4083,66.5,90,NaN,92.4,72.7,60.6,58.7,22.1,12.5,11.9,NaN,11.4,11.6,10.4,11.2,9.4,174.0111426,238.4641983,NaN,247.4112459,193.8430036,165.7603938,157.8425398,61.77807267,5.438188094,7.452471975,NaN,7.73208469,6.057972485,5.180336077,4.932887674,1.930685439,1,0,1,0,0,1,1,0
737962.4188,94.2,90.2,NaN,77.5,70.7,53.1,63.9,23.3,14.5,12,NaN,11.4,11.6,10.1,11.7,9.4,236.6696304,238.4947745,NaN,207.5148437,188.5103212,146.1889168,170.0212577,65.13253815,7.396388225,7.453427541,NaN,6.485244194,5.891315745,4.568689192,5.313496397,2.035519037,1,0,1,0,0,1,1,0
737962.4292,78.9,90.2,NaN,74.1,69.8,54.5,92.1,24.2,13.7,12,NaN,11,11.4,10.2,14,9.4,201.4456104,238.4947745,NaN,200.1010862,186.8972399,149.7191761,233.7263799,67.64838727,6.295568799,7.453427541,NaN,6.253549789,5.840903803,4.679016693,7.304405898,2.114144236,1,0,1,0,0,0,1,1
737962.4396,93.5,90.6,NaN,74.2,67.8,54.7,91.8,24,15,12,NaN,10.9,11.5,10.2,14.5,9.4,232.5870331,239.5524009,NaN,200.7984418,181.1592212,150.2686043,230.6398309,67.08930968,7.268799086,7.486480435,NaN,6.275343515,5.66157951,4.696187397,7.207945213,2.09667197,1,0,1,0,0,0,1,1
737962.45,90.8,91,NaN,72.7,66.5,57.8,86.9,18.3,12.9,12.2,NaN,11.2,11.4,10.4,12.6,9.2,235.6444606,239.6083822,NaN,195.48812,178.061124,158.1014977,226.9220706,51.38083426,7.364349666,7.488229957,NaN,6.109385587,5.564757921,4.940980615,7.091757941,1.60575143,1,0,1,0,0,1,1,1
737962.4604,94.7,92.8,NaN,76.3,66.3,59.7,58.8,20.8,14.8,13.1,NaN,11.9,11.8,10.7,11.4,9.1,236.5082808,239.8485442,NaN,202.1646481,176.0371039,162.2505913,157.4435201,58.5288601,7.391345734,7.495735489,NaN,6.31804013,5.501503341,5.070647892,4.92041753,1.829141199,1,0,1,0,0,1,1,0
737962.4708,94.5,92.9,NaN,76.2,66.6,61.3,60.5,20.6,15.3,13.5,NaN,11.6,12.4,10.9,11.4,9,233.6863872,238.1549262,NaN,203.1751977,174.6343743,165.8887396,161.9954586,58.09415147,7.303156047,7.442806619,NaN,6.349621779,5.457665302,5.184347135,5.0626745,1.815555706,0,0,1,0,0,0,1,1
737962.4813,94.7,92.9,NaN,90,67.2,60.5,59.8,20.4,15.6,13.4,NaN,12.7,13,10.8,11.6,9,232.8053363,238.6401328,NaN,234.5322942,174.0398554,164.073602,159.4472024,57.53013058,7.275621485,7.457970274,NaN,7.329592292,5.439085425,5.127620539,4.983036514,1.797928951,0,0,1,0,0,0,0,0
737962.4917,94.8,92.8,NaN,80,67.9,60.1,58.8,20.1,15.8,13.2,NaN,11.8,13.1,10.7,11.2,9,232.1416318,239.3582315,NaN,212.4127951,175.4926309,163.3376974,158.1114368,56.68409925,7.254879424,7.480412261,NaN,6.63831474,5.484487497,5.104622082,4.941291231,1.77148882,0,0,1,0,0,0,0,0
