SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737681.485416667,118,83.7,75.8,72.5,68.5,61.3,59.3,47.5,12.4,12.1,12.9,12.4,12.4,12.6,12.3,12,309.412254831869,220.846795789396,196.716410955779,190.104987078902,179.616436067653,160.072760953829,155.815956129464,125.593146190999,9.66973732207853,6.90189373677718,6.14777207812298,5.94115216822621,5.61336446239305,5.00258644145975,4.86955297610676,3.92503113291454,0,1,1,0,0,1,0,0
737681.495833333,115.6,80.1,72.6,65.2,62.5,56,52.4,41,12.5,11.7,12.2,11.7,11.8,11.7,11.5,11.1,302.491550174051,213.125238553374,191.160093910693,173.480219147066,165.947496145335,149.001415218339,140.01096149522,110.482019718314,9.45345178367556,6.66057999104238,5.974126317604,5.42159569807694,5.18618339100365,4.65658526215197,4.37561602272704,3.4527789148795,0,0,0,0,0,1,0,0
737681.50625,114.2,80.8,71,63.7,61.7,55.4,51,39.7,12.5,11.6,11.9,11.4,11.6,11.4,11.3,10.7,298.828157697894,215.440367098261,188.121756411831,170.563813478518,164.51325061835,148.339643119465,136.847239884474,107.89528430058,9.33896361328503,6.73293228008816,5.87917233614072,5.33045232447396,5.1413604168495,4.63590359145773,4.27674354286125,3.37193838054191,0,0,0,0,0,0,0,0
737681.516666667,115,79.8,70.4,64.2,61.3,55,50.8,40.1,12.7,11.6,11.8,11.3,11.5,11.3,11.2,10.6,299.680153646278,212.774025921302,186.923259658105,172.266525501633,163.791449230095,147.580356738159,136.599676699372,109.216100827621,9.3655901508306,6.64960391028509,5.84171697162652,5.38366540101358,5.11880271361006,4.61217440896802,4.26900670977473,3.41321647689297,0,0,0,0,0,0,0,0
737681.527083333,113.1,79.2,70.5,64.5,61.9,55.4,50.4,40,12.7,11.6,11.8,11.3,11.5,11.2,11.1,10.6,294.728916325165,211.174221215127,187.188775651938,173.071509265659,165.394628178513,148.968938762701,135.812043751294,108.943741473936,9.21085431355601,6.59960688840324,5.85001486505212,5.40882271597159,5.16890518715274,4.65557030947874,4.24439164170554,3.40470471510521,0,0,0,0,0,0,0,0
737681.5375,117.4,80.4,71.1,63.7,61.5,54.8,50.4,40.8,12.7,11.6,11.9,11.3,11.5,11.2,11.1,10.5,305.934348157157,214.373830627477,188.386716632129,170.924885894922,164.325842212901,147.355556754441,135.812043751294,111.36135827292,9.56104594528272,6.69960093216693,5.88745286055782,5.34173654275023,5.13550353812429,4.60514897038692,4.24439164170554,3.4802599622764,0,0,0,0,0,0,0,0
737681.547916667,115.7,80.8,71.6,64.8,61.7,55.3,51.2,40.8,12.7,11.7,11.9,11.3,11.5,11.3,11.2,10.6,301.504293711951,214.987756243603,189.711517733621,173.876493029685,164.860235195707,148.385340502185,137.675264704879,111.122616303415,9.42259809087914,6.71878730681927,5.92885548264332,5.43398003092959,5.15220436263851,4.63733172392603,4.30262093583595,3.47279880940731,0,0,0,0,0,0,0,0
737681.558333333,116,80.5,71,64.3,62.1,56.3,51.6,41.3,12.8,11.6,11.9,11.3,11.5,11.3,11.1,10.6,301.663622198318,214.640464745173,188.121756411831,172.534853422975,165.929021161319,151.068619715606,139.04566384061,112.484413071839,9.42757741728601,6.70793376914724,5.87917233614072,5.39205117266625,5.18560601166696,4.72118944045272,4.34544858555567,3.51535761834613,0,0,0,0,0,0,0,0
737681.56875,117.8,80.5,71,65,62.6,56.2,52,42,12.7,11.6,11.9,11.3,11.5,11.2,11.1,10.6,306.97671390897,214.640464745173,188.121756411831,174.413148872369,167.265003618335,151.120114773715,140.123537203716,114.390928547633,9.59362191102474,6.70793376914724,5.87917233614072,5.45075157423493,5.22735807295253,4.72279876160118,4.37913423350571,3.57493995086047,0,0,0,0,0,0,0,0
737681.579166667,120.3,81,70.8,64.4,62.4,56.4,52.1,41.3,12.8,11.6,11.9,11.3,11.5,11.2,11.2,10.6,312.845980607393,215.973635333653,187.591835971234,172.803181344317,166.730610635529,151.657908776468,140.095337717269,112.484413071839,9.77704795947851,6.74959795404877,5.86261128730652,5.40043694431892,5.2106572484383,4.73960587463179,4.37825294447369,3.51535761834613,0,0,0,0,0,0,0,0
737681.589583333,117.4,80.3,70.6,64.3,63.1,56.8,52.7,42.1,12.8,11.6,11.9,11.4,11.6,11.3,11.2,10.7,305.304390052436,214.107196509782,187.061915530637,172.170380010498,168.246128266092,152.410259322317,141.70871972553,114.417921134872,9.54135852404636,6.69126809518662,5.84605023847233,5.38066066661971,5.2580201345738,4.76311829871606,4.42867428356552,3.57578352193487,0,0,0,0,0,0,0,0
737681.6,116.8,79,70.8,64.7,63.2,56.2,52.9,42,12.8,11.6,11.9,11.3,11.6,11.3,11.2,10.7,303.744060972099,210.640952979735,187.591835971234,173.608165108343,168.512762383788,150.800291794264,142.246513728283,114.14614460011,9.49259519257764,6.58294121444263,5.86261128730652,5.42559425927693,5.2663529715541,4.71280366880005,4.44548139659613,3.56728997437683,0,0,0,0,0,0,0,0
737681.610416667,119,79.6,71.7,64.7,63.2,56.8,52.9,42.3,12.9,11.7,12,11.4,11.6,11.3,11.3,10.7,308.829193980709,211.794868774639,189.579549092519,173.241424365151,168.512762383788,152.410259322317,141.945470389974,114.961474204396,9.65151553161788,6.61900333691602,5.92473120484153,5.41413289471688,5.2663529715541,4.76311829871606,4.43607320426197,3.59277061705095,0,0,0,0,0,0,0,0
737681.620833333,119.4,80.1,70.8,65.1,63.4,56.5,52.7,42.5,12.8,11.7,11.9,11.4,11.6,11.3,11.3,10.8,310.505486986889,213.125238553374,187.591835971234,174.312468719804,169.04603061918,151.60527555829,141.40881454729,115.258315448813,9.70390296227543,6.66057999104238,5.86261128730652,5.44760512281405,5.28301864551472,4.73796098375806,4.41930166095663,3.60204748574327,0,0,0,0,0,0,0,0
737681.63125,118.2,79.5,71.1,64.3,63.4,56.3,52.6,42,12.8,11.7,11.9,11.4,11.6,11.4,11.3,10.7,307.384828826217,211.528794818892,188.386716632129,172.170380010498,169.04603061918,150.749492917434,141.140486625948,114.14614460011,9.60637629933799,6.61068800609075,5.88745286055782,5.38066066661971,5.28301864551472,4.71121610467636,4.41091588930396,3.56728997437683,0,0,0,0,0,0,0,0
737681.641666667,118.9,78.8,71.5,64.7,63.4,56.6,52.7,42.3,12.9,11.7,12,11.4,11.7,11.4,11.3,10.8,308.569673649633,209.666277128663,189.050735845399,173.241424365151,168.690887943619,151.552776183424,141.40881454729,114.715923376113,9.64340501436442,6.55248069031385,5.9082047579661,5.41413289471688,5.27191974322206,4.73632027574924,4.41930166095663,3.58509667404565,0,0,0,0,0,0,0,0
737681.652083333,118.6,79.4,70.3,63.8,63.5,55.9,52.9,42.5,12.9,11.7,12,11.4,11.6,11.4,11.3,10.8,307.791112656404,211.262720863145,185.877856362679,170.831574567181,169.312664736876,149.678448562781,141.945470389974,115.258315448813,9.61907346260404,6.60237267526548,5.80904607671352,5.33882038149826,5.29135148249502,4.67774387657919,4.43607320426197,3.60204748574327,0,0,0,0,0,0,0,0
737681.6625,118.9,80.5,70.8,64.3,63.5,56.4,53,42.8,13,11.8,12.1,11.5,11.8,11.4,11.4,10.9,307.936589436735,213.740375035191,186.809476008235,171.807343972188,168.60265608366,151.017254006097,141.913376991546,115.824438118526,9.62361989614149,6.67980420761271,5.83816101032048,5.36931508132344,5.26916232525971,4.71958416170065,4.43507022287473,3.61973992494924,0,0,0,0,0,0,0,0
737681.672916667,118.3,79,70.7,64.3,63.3,56.7,52.7,43,12.9,11.7,12.1,11.5,11.7,11.4,11.4,10.8,307.012551663175,210.198425040157,186.545620816133,171.807343972188,168.424813987872,151.820537272087,141.110093725556,116.614295630564,9.59474191084366,6.56911135196439,5.82991502019291,5.36931508132344,5.26360441239678,4.74468833277353,4.40996605180185,3.64442451498731,0,0,0,0,0,0,0,0
737681.683333333,117.7,79.3,70.9,64.2,63.3,56.4,53,43,12.9,11.8,12.1,11.5,11.8,11.4,11.4,10.9,305.455429676718,210.554183109201,187.073331200337,171.540147480784,168.071624095995,151.017254006097,141.913376991546,116.365673810668,9.54607880732289,6.58022948650544,5.84640700044805,5.36096466906633,5.2525665384085,4.71958416170065,4.43507022287473,3.63665459749573,0,0,0,0,0,0,0,0
737681.69375,117,78.7,70.5,64.6,63.2,56.2,53.2,42.6,12.9,11.8,12.1,11.5,11.7,11.4,11.4,10.8,303.638787359184,208.961087146206,186.017910431929,172.608933446397,168.158740032125,150.481731828771,142.448899168872,115.529511485163,9.48930518654867,6.5304421259518,5.81342303993777,5.39436631809478,5.25528908157151,4.70284804765207,4.45180633692331,3.61052289159208,0,0,0,0,0,0,0,0
737681.704166667,122.2,78.3,71,63.5,63.8,56.5,52,42.5,13,11.7,12.1,11.5,11.7,11.5,11.4,10.9,316.483189479975,208.335907349927,187.337186392439,169.669772040963,169.755183766607,150.966017642746,139.235766104913,115.012584580312,9.8907178411143,6.51090403618749,5.85465299057562,5.30251178326654,5.30518106652314,4.71798292526865,4.35138965263181,3.5943679161295,0,0,0,0,0,0,0,0
737681.714583333,118.4,78.9,71,64.3,63.4,56.4,53.2,42.8,13,11.9,12.1,11.6,11.9,11.6,11.5,11,306.641650036244,209.053613815401,187.337186392439,171.445737678443,167.984779669156,150.381642380469,142.148533426444,115.577955294613,9.58315051053955,6.53333376509159,5.85465299057562,5.35801417833748,5.24985248044115,4.69972005689322,4.44241932078394,3.61203685526011,0,0,0,0,0,0,0,0
737681.725,118.1,78.2,69.5,64.3,63.6,56.1,53.2,43,13,11.8,12.1,11.6,11.8,11.5,11.5,10.9,305.86468639595,207.633507177043,183.379358510908,171.445737678443,168.868172077493,149.897231677134,142.148533426444,116.365673810668,9.55886887917838,6.48895265882377,5.73096313866205,5.35801417833748,5.27746021868532,4.6845812762402,4.44241932078394,3.63665459749573,0,0,0,0,0,0,0,0
737681.735416667,117.8,77.7,69.8,64.3,63.8,56.2,53,42.8,13,11.8,12.1,11.6,11.8,11.5,11.5,10.9,305.087722755655,206.30592720788,184.170924087214,171.445737678443,169.399204065158,150.164428168537,141.614140443638,115.824438118526,9.53458724781722,6.44746319169574,5.75570110904477,5.35801417833748,5.29405600553653,4.69293168849732,4.42571849626971,3.61973992494924,0,0,0,0,0,0,0,0
