ID,SH,TRT,TIMEPOINT,DATE,TIME,ID,Temp Insitu,Temp Run,Salinity,pH Ave,TA,DO (MG/L),DO SAT,t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
H1,H,H1,1,6/25/20,14:45,H144007,13.6,24.26666667,34.83,7.757828566,2262.488333,,,13.6,0,7.914,554.6,556.7,1977.9,114.3,21.7,54.3,1.7,0,0,13.731,2.73,1.75,565.2
H2,H,H2,1,6/25/20,14:46,H244007,13,24.56666667,34.83,7.633510207,2261.941667,,,13,0,7.797,745.3,748.1,2042.1,88.2,29.7,42.2,1.2,0,0,15.649,2.1,1.35,759.1
H3,H,H3,1,6/25/20,14:47,H344007,12.5,24.53333333,34.83,7.583819776,2261.461667,,,12.5,0,7.752,834.1,837.2,2065,78.8,33.8,37.9,1,0,0,16.414,1.88,1.2,849.1
H4,H,H4,1,6/25/20,14:48,H444007,11.6,24.5,34.83,7.466570033,2261.111667,,,11.6,0,7.639,1098.8,1103,2111.4,59.9,45.8,29.1,0.7,0,0,17.814,1.43,0.91,1117.7
H5,H,H5,1,6/25/20,14:49,H544007,11.7,24.6,34.82,7.439300375,2260.885,,,11.7,0,7.609,1181.7,1186.2,2119.9,56.4,49.1,27.4,0.7,0,0,17.985,1.35,0.86,1202.2
H6,H,H6,1,6/25/20,14:50,H644007,11.3,24.7,34.82,7.387941283,2260.511667,,,11.3,0,7.56,1328.3,1333.3,2135.5,50,55.9,24.4,0.6,0,0,18.212,1.19,0.76,1350.8
1A,S,1,1,6/25/20,14:51,1A44007,13.5,24.6,34.83,7.914975424,2262.928333,8.11,,13.5,0,8.082,355.6,356.9,1868.5,158.4,14,75.1,2.5,0,0,11.345,3.78,2.42,362.3
1B,S,1,1,6/25/20,14:52,1B44007,13.6,24.63333333,34.83,7.915322447,2262.318333,8.14,,13.6,0,8.081,356.2,357.5,1867.3,158.7,13.9,75.1,2.5,0,0,11.331,3.78,2.42,363
1C,S,1,1,6/25/20,14:53,1C44007,13.6,24.53333333,34.83,7.915608553,2261.975,8.21,,13.6,0,8.08,357.3,358.6,1867.9,158.3,14,75,2.5,0,0,11.347,3.78,2.42,364.1
2A,S,2,1,6/25/20,14:54,2A44007,13,24.5,34.83,7.649253021,2263.298333,7.3,,13,0,7.813,716.9,719.6,2036.1,91.2,28.6,43.6,1.3,0,0,15.423,2.17,1.39,730.2
2B,S,2,1,6/25/20,14:55,2B44007,13.2,24.43333333,34.83,7.645912006,2263.895,7.23,,13.2,0,7.805,731.2,733.9,2038.6,90.4,29,43.1,1.3,0,0,15.479,2.16,1.38,744.9
2C,S,2,1,6/25/20,14:56,2C44007,13,24.63333333,34.83,7.6435397,2261.851667,7.24,,13,0,7.809,723.9,726.6,2036.7,90.4,28.9,43.2,1.2,0,0,15.481,2.15,1.38,737.3
