ID,SH,TRT,TIMEPOINT,DATE,TIME,ID,Temp Insitu,Temp Run,Salinity,pH Ave,TA,DO (MG/L),DO SAT,t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
1A,S,1,1,9/15/19,13:05,1A_190915,12.2,25.1,34.58,7.64,2240.48,7.45,86.2,12.2,0,7.822,692.8,695.4,2018.5,88.9,28.4,43,1.2,0,0,15.537,2.12,1.35,705.1
1B,S,1,1,9/15/19,13:06,1B_190915,12.1,25.2,34.58,7.64,2241,6.87,79.9,12.1,0,7.821,693.2,695.8,2019.8,88.6,28.5,42.9,1.2,0,0,15.57,2.11,1.35,705.4
1C,S,1,1,9/15/19,13:07,1C_190915,12.2,25.2,34.58,7.65,2241.9,7.07,82,12.2,0,7.831,676.7,679.3,2015.4,90.7,27.7,43.9,1.2,0,0,15.398,2.17,1.38,688.7
2A,S,2,1,9/15/19,13:08,2A_190915,12,25.1,34.58,7.53,2240.52,6.64,76.8,12,0,7.712,912.3,915.8,2065.6,70,37.6,34,0.9,0,0,17.065,1.67,1.07,928.4
2B,S,2,1,9/15/19,13:09,2B_190915,12,25.4,34.58,7.54,2240.36,6.67,77,12,0,7.722,888.6,892,2061.4,71.6,36.6,34.8,0.9,0,0,16.942,1.71,1.09,904.2
2C,S,2,1,9/15/19,13:10,2C_190915,12.1,25.2,34.58,7.55,2241.15,6.69,77.3,12.1,0,7.735,860.4,863.6,2056.4,74,35.4,35.9,1,0,0,16.756,1.77,1.13,875.6
3A,S,3,1,9/15/19,13:11,3A_190915,11.7,25.3,34.58,7.47,2241.88,6.09,70,11.7,0,7.654,1050.9,1054.9,2088.7,61.3,43.7,29.9,0.8,0,0,17.704,1.46,0.93,1069.1
3B,S,3,1,9/15/19,13:13,3B_190915,11.7,25.1,34.58,7.48,2242.3,6.04,69.2,11.7,0,7.658,1040.1,1044,2087.7,61.9,43.3,30.1,0.8,0,0,17.669,1.48,0.94,1058.1
3C,S,3,1,9/15/19,13:13,3C_190915,11.7,25.2,34.58,7.47,2242.07,6.11,70.4,11.7,0,7.651,1058.5,1062.5,2089.8,60.9,44.1,29.7,0.8,0,0,17.728,1.46,0.93,1076.8
4A,S,4,1,9/15/19,13:14,4A_190915,11.5,25.2,34.58,7.39,2240.9,5.69,65.1,11.5,0,7.568,1295.6,1300.5,2114.6,50.5,54.3,24.7,0.6,0,0,18.192,1.21,0.77,1317.8
4B,S,4,1,9/15/19,13:15,4B_190915,11.5,25,34.58,7.39,2241.61,5.74,65.8,11.5,0,7.566,1301.6,1306.6,2115.8,50.3,54.5,24.6,0.6,0,0,18.197,1.2,0.77,1324
4C,S,4,1,9/15/19,13:16,4C_190915,11.6,24.9,34.58,7.4,2242.17,5.57,63.6,11.6,0,7.568,1296.3,1301.2,2115.3,50.7,54.1,24.8,0.6,0,0,18.181,1.21,0.77,1318.6
5A,S,5,1,9/15/19,13:17,5A_190915,11.4,25.3,34.58,7.36,2241.64,5.5,63,11.4,0,7.532,1413.6,1419,2125.3,46.5,59.4,22.8,0.6,0,0,18.23,1.11,0.71,1437.8
5B,S,5,1,9/15/19,13:18,5B_190915,11.3,25.2,34.58,7.34,2241.64,5.36,61,11.3,0,7.514,1475.8,1481.4,2130.2,44.6,62.2,21.8,0.5,0,0,18.211,1.06,0.68,1500.9
5C,S,5,1,9/15/19,13:19,5C_190915,11.4,25,34.58,7.35,2240.71,5.43,62.1,11.4,0,7.527,1430.8,1436.2,2125.7,46,60.1,22.5,0.6,0,0,18.224,1.1,0.7,1455.2
6A,S,6,1,9/15/19,13:20,6A_190915,11.4,25,34.58,7.35,2242.45,5.22,59.4,11.4,0,7.517,1466.3,1471.9,2129.8,45,61.6,22,0.5,0,0,18.211,1.08,0.69,1491.3
6B,S,6,1,9/15/19,13:21,6B_190915,11.4,25,34.58,7.31,2242.52,5.16,58.8,11.4,0,7.481,1599.5,1605.6,2138.4,41.6,67.2,20.4,0.5,0,0,18.092,0.99,0.63,1626.8
6C,S,6,1,9/15/19,13:22,6C_190915,11.4,25.3,34.58,7.31,2241.47,5.23,59.6,11.4,0,7.485,1581.9,1587.9,2136.4,42,66.5,20.6,0.5,0,0,18.111,1,0.64,1608.9
H1,H,H1,1,9/15/19,13:05,H1_190915,12.2,25,34.58,7.65,2242.91,,,12.2,0,7.833,674.5,677,2015.6,91,27.6,44,1.2,0,0,15.378,2.17,1.39,686.5
H2,H,H2,1,9/15/19,13:05,H2_190915,12,25.3,34.58,7.56,2242.93,,,12,0,7.747,835.4,838.5,2054,75.6,34.4,36.7,1,0,0,16.633,1.81,1.15,850
H3,H,H3,1,9/15/19,13:05,H3_190915,11.7,25.3,34.58,7.42,2243.3,,,11.7,0,7.592,1223.4,1228,2109.1,53.7,50.9,26.1,0.7,0,0,18.091,1.28,0.82,1244.6
H4,H,H4,1,9/15/19,13:05,H4_190915,11.5,25.2,34.58,7.39,2243.02,,,11.5,0,7.561,1317.7,1322.7,2118.5,49.8,55.2,24.3,0.6,0,0,18.208,1.19,0.76,1340.3
H5,H,H5,1,9/15/19,13:05,H5_190915,11.4,25,34.58,7.35,2242.73,,,11.4,0,7.526,1433,1438.5,2127.7,46,60.2,22.5,0.6,0,0,18.226,1.1,0.7,1457.5
H6,H,H6,1,9/15/19,13:05,H6_190915,11.4,25.2,34.58,7.27,2242.94,,,11.4,0,7.437,1778.4,1785.1,2148.4,37.8,74.7,18.5,0.5,0,0,17.812,0.9,0.58,1808.7
1A,S,1,2,9/29/19,11:19,1A_190929,11.9,25.4,34.58,7.63,2229.09,7.12,81.8,11.9,0,7.82,691.6,694.2,2011.1,87.2,28.6,42.5,1.1,0,0,15.626,2.08,1.33,703.7
1B,S,1,2,9/29/19,11:20,1B_190929,12,25.1,34.58,7.65,2229.94,7.51,86.7,12,0,7.833,670.1,672.6,2005.2,89.9,27.6,43.8,1.2,0,0,15.411,2.15,1.37,681.9
1C,S,1,2,9/29/19,11:21,1C_190929,12,24.8,34.58,7.64,2228.51,7.38,85.3,12,0,7.823,685.9,688.4,2008.3,88.1,28.3,42.9,1.2,0,0,15.549,2.1,1.34,697.9
2A,S,2,2,9/29/19,11:22,2A_190929,11.6,25.1,34.58,7.56,2232.17,6.69,76.2,11.6,0,7.75,824.8,827.9,2045.6,74.6,34.4,36.5,0.9,0,0,16.685,1.78,1.14,839
2B,S,2,2,9/29/19,11:23,2B_190929,11.6,24.9,34.58,7.57,2233.34,6.66,76,11.6,0,7.759,806.1,809.1,2043,76.1,33.7,37.2,1,0,0,16.564,1.82,1.16,819.9
2C,S,2,2,9/29/19,11:24,2C_190929,11.7,24.9,34.58,7.56,2225.35,6.64,76,11.7,0,7.738,847.5,850.7,2043.3,72.8,35.3,35.7,0.9,0,0,16.798,1.74,1.11,862.1
3A,S,3,2,9/29/19,11:25,3A_190929,11.2,25.1,34.58,7.46,2227.77,5.5,61.6,11.2,0,7.646,1062.4,1066.5,2080.6,58.8,44.9,29,0.7,0,0,17.842,1.4,0.89,1080.4
3B,S,3,2,9/29/19,11:27,3B_190929,11.2,24.9,34.58,7.47,2227.5,5.65,64,11.2,0,7.655,1038.3,1042.3,2077.3,60,43.9,29.5,0.7,0,0,17.77,1.43,0.91,1055.9
3C,S,3,2,9/29/19,11:28,3C_190929,11.2,24.9,34.58,7.46,2227.12,5.76,65.3,11.2,0,7.64,1076.7,1080.8,2081.7,58.1,45.5,28.6,0.7,0,0,17.881,1.39,0.88,1094.9
4A,S,4,2,9/29/19,11:30,4A_190929,10.9,25.1,34.58,7.39,2226.58,4.85,54.6,10.9,0,7.569,1278.4,1283.3,2103.2,49.2,54.6,24.4,0.6,0,0,18.241,1.18,0.75,1299.7
4B,S,4,2,9/29/19,11:31,4B_190929,10.9,24.8,34.58,7.39,2229,4.74,53.2,10.9,0,7.57,1277.5,1282.4,2105.3,49.4,54.6,24.4,0.6,0,0,18.244,1.18,0.75,1298.8
4C,S,4,2,9/29/19,11:32,4C_190929,10.9,24.9,34.58,7.39,2223.36,4.82,54.2,10.9,0,7.567,1285.2,1290.1,2100.9,48.9,54.9,24.2,0.6,0,0,18.241,1.17,0.74,1306.6
5A,S,5,2,9/29/19,11:34,5A_190929,10.8,24.9,34.58,7.35,2226.4,4.72,52.9,10.8,0,7.526,1419.2,1424.6,2114.6,44.6,60.8,22.1,0.5,0,0,18.25,1.07,0.68,1442.7
5B,S,5,2,9/29/19,11:35,5B_190929,10.8,25,34.58,7.35,2229,4.54,51,10.8,0,7.529,1409.8,1415.2,2116.3,45,60.4,22.3,0.5,0,0,18.259,1.07,0.68,1433.2
5C,S,5,2,9/29/19,11:37,5C_190929,10.8,25.1,34.58,7.34,2227.1,4.62,52.1,10.8,0,7.525,1422.8,1428.2,2115.5,44.5,61,22.1,0.5,0,0,18.249,1.06,0.68,1446.4
6A,S,6,2,9/29/19,11:38,6A_190929,10.6,24.8,34.58,7.31,2225.95,4.48,50.2,10.6,0,7.481,1578.9,1584.9,2125.3,40.1,68.1,19.9,0.5,0,0,18.097,0.96,0.61,1604.8
6B,S,6,2,9/29/19,11:39,6B_190929,10.8,25,34.58,7.31,2229.54,4.62,52.1,10.8,0,7.488,1557.1,1563,2126.5,41.1,66.7,20.3,0.5,0,0,18.131,0.98,0.63,1582.9
6C,S,6,2,9/29/19,11:41,6C_190929,10.8,24.9,34.58,7.32,2230.76,4.65,52.3,10.8,0,7.497,1524.2,1530,2125.6,42,65.3,20.8,0.5,0,0,18.172,1,0.64,1549.4
H1,H,H1,2,9/29/19,11:19,H1_190929,12,25,34.58,7.65,2229.69,,,12,0,7.84,658,660.5,2001.7,91.2,27.1,44.4,1.2,0,0,15.303,2.18,1.39,669.6
