// Site Name:	SWC
// Sensor:	SAT333
// QF follow QARTOD. 1 = pass, 2 = not evaluated, 3 = Suspect, 4 = Fail

Date_UTC,Time_UTC,Depth,Temperature,pH_int,pH_extT,pH_extF,OxyUM,OxymgL,Sal,QC
01/31/2017,02:15:00,30,12.27,7.90,7.90,7.97,217.19,6.79,31.57,1
01/31/2017,02:30:00,30,12.26,7.90,7.90,7.97,217.06,6.78,31.57,1
01/31/2017,02:45:00,30,12.25,7.90,7.90,7.97,216.95,6.78,31.58,1
01/31/2017,03:00:00,30,12.24,7.90, NaN, NaN,   NaN, NaN,  NaN,1
01/31/2017,03:15:00,30,12.24,7.89, NaN, NaN,   NaN, NaN,  NaN,1
01/31/2017,03:30:00,30,12.20,7.90, NaN, NaN,   NaN, NaN,  NaN,1
01/31/2017,03:45:00,30,12.18,7.90,7.90,7.97,216.66,6.77,31.58,1
01/31/2017,04:00:00,30,12.17,7.90,7.90,7.97,216.43,6.76,31.58,1
01/31/2017,04:15:00,30,12.16,7.90,7.90,7.97,216.51,6.77,31.58,1
01/31/2017,04:30:00,30,12.14,7.90,7.90,7.97,216.17,6.76,31.58,1
01/31/2017,04:45:00,30,12.12,7.90,7.90,7.97,216.20,6.76,31.59,1
01/31/2017,05:00:00,30,12.11,7.90,7.90,7.97,215.95,6.75,31.58,1
01/31/2017,05:15:00,30,12.09,7.90,7.90,7.97,215.96,6.75,31.58,1
01/31/2017,05:30:00,30,12.07,7.90,7.90,7.97,215.81,6.74,31.58,1
01/31/2017,05:45:00,30,12.06,7.90,7.90,7.97,215.59,6.74,31.58,1
01/31/2017,06:00:00,30,12.04,7.90,7.90,7.97,215.51,6.74,31.58,1
01/31/2017,06:15:00,30,12.02,7.90,7.90,7.97,215.34,6.73,31.59,1
01/31/2017,06:30:00,30,12.00,7.90,7.90,7.97,215.38,6.73,31.59,1
01/31/2017,06:45:00,30,11.98,7.90,7.90,7.97,215.33,6.73,31.59,1
01/31/2017,07:00:00,30,12.00,7.90,7.90,7.97,216.03,6.75,31.63,1
01/31/2017,07:15:00,30,12.02,7.90,7.91,7.97,216.74,6.77,31.67,1
01/31/2017,07:30:00,30,12.04,7.91,7.91,7.97,217.45,6.80,31.71,1
01/31/2017,07:45:00,30,12.06,7.91,7.91,7.98,218.16,6.82,31.74,1
01/31/2017,08:00:00,30,12.09,7.91,7.91,7.98,218.86,6.84,31.78,1
01/31/2017,08:15:00,30,12.11,7.91,7.91,7.98,219.57,6.86,31.82,1
01/31/2017,08:30:00,30,12.13,7.91,7.91,7.98,220.28,6.88,31.86,1
01/31/2017,08:45:00,30,12.15,7.91,7.92,7.98,220.98,6.91,31.90,1
01/31/2017,09:00:00,30,12.17,7.92,7.92,7.98,221.69,6.93,31.94,1
01/31/2017,09:15:00,30,12.20,7.92,7.92,7.99,222.39,6.95,31.97,1
01/31/2017,09:30:00,30,12.22,7.92,7.92,7.99,223.10,6.97,32.01,1
01/31/2017,09:45:00,30,12.24,7.92,7.92,7.99,223.80,6.99,32.05,1
01/31/2017,10:00:00,30,12.26,7.92,7.92,7.99,224.51,7.02,32.09,1
