// Site Name:	SWC
// Sensor:	SP044
// QF follow QARTOD. 1 = pass, 2 = not evaluated, 3 = Suspect, 4 = Fail

Date_UTC,Time_UTC,Depth,Temperature,pH_int,pH_extT,pH_extF,OxyUM,OxymgL,Sal,QC
09/16/2019,15:45:00,40,11.74,7.84,7.84,7.91,180.72,5.65,33.50,1
09/16/2019,16:00:00,40,11.67,7.83,7.84,7.90,181.57,5.67,33.50,1
09/16/2019,16:15:00,40,11.60,7.82,7.83,7.90,178.21,5.57,33.49,1
09/16/2019,16:30:00,40,11.52,7.81,7.82,7.89,174.19,5.44,33.50,1
09/16/2019,16:45:00,40,11.52,7.81,7.83,7.89,174.65,5.46,33.49,1
09/16/2019,17:00:00,40,11.49,7.81,7.83,7.89,175.96,5.50,33.49,1
09/16/2019,17:15:00,40,11.50,7.81,7.83,7.89,175.50,5.48,33.50,1
09/16/2019,17:30:00,40,11.51,7.81,7.83,7.90,176.14,5.50,33.50,1
09/16/2019,17:45:00,40,11.52,7.81,7.83,7.90,176.95,5.53,33.50,1
09/16/2019,18:00:00,40,11.52,7.82,7.83,7.90,178.81,5.59,33.50,1
09/16/2019,18:15:00,40,11.49,7.80,7.82,7.89,176.95,5.53,33.50,1
09/16/2019,18:30:00,40,11.46,7.80,7.82,7.88,171.26,5.35,33.50,3
09/16/2019,18:45:00,40,11.46,7.80,7.82,7.88,172.73,5.40,33.50,3
09/16/2019,19:00:00,40,11.58,7.83,7.85,7.92,181.62,5.68,33.48,1
09/16/2019,19:15:00,40,11.60,7.83,7.85,7.92,185.41,5.79,33.50,1
09/16/2019,19:30:00,40,11.71,7.85,7.87,7.94,189.45,5.92,33.50,1
09/16/2019,19:45:00,40,11.77,7.86,7.88,7.95,195.48,6.11,33.49,1
09/16/2019,20:00:00,40,11.77,7.85,7.87,7.94,195.54,6.11,33.50,1
09/16/2019,20:15:00,40,11.76,7.85,7.87,7.93,193.03,6.03,33.50,1
09/16/2019,20:30:00,40,11.74,7.85,7.87,7.94,193.91,6.06,33.50,1
09/16/2019,20:45:00,40,11.76,7.85,7.87,7.94,194.90,6.09,33.49,1
09/16/2019,21:00:00,40,11.77,7.85,7.87,7.94,197.67,6.18,33.49,1
09/16/2019,21:15:00,40,11.78,7.85,7.87,7.94,198.73,6.21,33.49,1
09/16/2019,21:30:00,40,11.78,7.85,7.87,7.94,200.10,6.25,33.49,1
09/16/2019,21:45:00,40,11.76,7.85,7.87,7.93,198.45,6.20,33.49,1
09/16/2019,22:00:00,40,11.74,7.84,7.86,7.93,195.78,6.12,33.49,1
