// Site Name:	SWC
// Sensor:	benchtop
// QF follow QARTOD. 1 = pass, 2 = not evaluated, 3 = Suspect, 4 = Fail

Date_UTC,Time_UTC,Depth,Temperature,pH_int,pH_extT,pH_extF,OxyUM,OxymgL,Sal,QC
03/09/2020,10:30:00,40,13.21,8.43,8.43,8.43,301.28, 9.42, 0.10,3
03/09/2020,11:00:00,40,13.20,8.01,8.01,8.01,248.08, 7.75,33.42,3
03/09/2020,11:30:00,40,12.96,8.02,8.02,8.02,250.63, 7.83,33.43,3
03/09/2020,12:00:00,40,12.85,8.01,8.01,8.01,249.79, 7.81,33.43,1
03/09/2020,12:30:00,40,12.83,8.02,8.02,8.02,252.02, 7.88,33.43,1
03/09/2020,13:00:00,40,12.83,8.02,8.02,8.02,253.10, 7.91,33.43,1
03/09/2020,13:30:00,40,12.84,8.02,8.02,8.02,253.34, 7.92,33.43,1
03/09/2020,14:00:00,40,12.86,8.02,8.02,8.02,254.77, 7.96,33.43,1
03/09/2020,14:30:00,40,12.86,8.03,8.03,8.03,255.27, 7.98,33.44,1
03/09/2020,15:00:00,40,12.87,8.03,8.03,8.03,255.82, 7.99,33.44,1
03/09/2020,15:30:00,40,12.87,8.03,8.03,8.03,257.45, 8.05,33.44,1
03/09/2020,16:00:00,40,12.86,8.03,8.03,8.03,256.62, 8.02,33.44,1
03/09/2020,16:30:00,40,12.86,8.03,8.03,8.03,256.57, 8.02,33.44,1
03/09/2020,17:00:00,40,12.86,8.03,8.03,8.03,257.15, 8.04,33.44,1
03/09/2020,17:30:00,40,12.85,8.02,8.02,8.02,253.94, 7.94,33.44,1
03/09/2020,18:00:00,40,12.81,8.01,8.01,8.01,250.10, 7.82,33.45,1
03/09/2020,18:30:00,40,12.78,8.01,8.01,8.01,246.56, 7.71,33.45,1
03/09/2020,19:00:00,40,12.79,8.01,8.01,8.01,250.07, 7.82,33.44,1
03/09/2020,19:30:00,40,12.80,8.01,8.01,8.01,249.86, 7.81,33.44,1
03/09/2020,20:00:00,40,12.81,8.02,8.02,8.02,251.75, 7.87,33.45,1
03/09/2020,20:30:00,40,12.85,8.02,8.02,8.02,253.46, 7.92,33.44,1
03/09/2020,21:00:00,40,12.89,8.03,8.03,8.03,256.67, 8.02,33.44,1
03/09/2020,21:30:00,40,12.94,8.03,8.03,8.03,256.94, 8.03,33.44,1
03/09/2020,22:00:00,40,12.94,8.03,8.03,8.03,256.25, 8.01,33.44,1
03/09/2020,22:30:00,40,12.94,8.02,8.02,8.02,254.60, 7.96,33.44,1
03/09/2020,23:00:00,40,12.95,8.02,8.02,8.02,254.21, 7.94,33.44,1
03/09/2020,23:30:00,40,12.96,8.02,8.02,8.02,253.34, 7.92,33.44,1
03/10/2020,00:00:00,40,12.97,8.02,8.02,8.02,252.78, 7.90,33.44,1
03/10/2020,00:30:00,40,12.97,8.02,8.02,8.02,251.90, 7.87,33.44,1
03/10/2020,01:00:00,40,12.97,8.02,8.02,8.02,251.96, 7.87,33.44,1
03/10/2020,01:30:00,40,12.95,8.02,8.02,8.02,251.13, 7.85,33.43,1
03/10/2020,02:00:00,40,12.94,8.02,8.02,8.02,252.23, 7.88,33.44,1
03/10/2020,02:30:00,40,12.92,8.02,8.02,8.02,251.55, 7.86,33.44,1
03/10/2020,03:00:00,40,12.88,8.01,8.01,8.01,249.66, 7.80,33.44,1
03/10/2020,03:30:00,40,12.86,8.01,8.01,8.01,247.09, 7.72,33.44,1
03/10/2020,04:00:00,40,12.86,8.01,8.01,8.01,248.08, 7.75,33.44,1
03/10/2020,04:30:00,40,12.87,8.01,8.01,8.01,248.70, 7.77,33.44,1
03/10/2020,05:00:00,40,12.89,8.01,8.01,8.01,248.05, 7.75,33.43,1
03/10/2020,05:30:00,40,12.94,8.02,8.02,8.02,251.33, 7.85,33.43,1
03/10/2020,06:00:00,40,12.94,8.02,8.02,8.02,251.92, 7.87,33.43,1
03/10/2020,06:30:00,40,12.95,8.02,8.02,8.02,254.11, 7.94,33.43,1
03/10/2020,07:00:00,40,12.93,8.02,8.02,8.02,250.46, 7.83,33.43,1
03/10/2020,07:30:00,40,12.91,8.01,8.01,8.01,247.96, 7.75,33.43,1
03/10/2020,08:00:00,40,12.89,8.01,8.01,8.01,246.65, 7.71,33.43,1
03/10/2020,08:30:00,40,12.91,8.01,8.01,8.01,249.68, 7.80,33.43,1
03/10/2020,09:00:00,40,12.92,8.02,8.02,8.02,252.28, 7.88,33.43,1
03/10/2020,09:30:00,40,12.92,8.02,8.02,8.02,252.61, 7.89,33.43,1
03/10/2020,10:00:00,40,12.91,8.01,8.01,8.01,249.87, 7.81,33.42,1
03/10/2020,10:30:00,40,12.90,8.01,8.01,8.01,249.24, 7.79,33.43,1
03/10/2020,11:00:00,40,12.92,8.02,8.02,8.02,251.09, 7.85,33.43,1
03/10/2020,11:30:00,40,12.92,8.02,8.02,8.02,250.88, 7.84,33.43,1
03/10/2020,12:00:00,40,12.92,8.02,8.02,8.02,250.44, 7.83,33.42,1
03/10/2020,12:30:00,40,12.93,8.02,8.02,8.02,251.32, 7.85,33.43,1
03/10/2020,13:00:00,40,12.92,8.02,8.02,8.02,250.38, 7.82,33.43,1
03/10/2020,13:30:00,40,12.91,8.01,8.01,8.01,249.06, 7.78,33.43,1
03/10/2020,14:00:00,40,12.93,8.02,8.02,8.02,251.91, 7.87,33.42,1
03/10/2020,14:30:00,40,12.95,8.02,8.02,8.02,254.00, 7.94,33.42,1
03/10/2020,15:00:00,40,12.93,8.02,8.02,8.02,250.73, 7.84,33.43,1
03/10/2020,15:30:00,40,12.93,8.02,8.02,8.02,251.19, 7.85,33.42,1
03/10/2020,16:00:00,40,12.92,8.02,8.02,8.02,250.00, 7.81,33.43,1
03/10/2020,16:30:00,40,12.92,8.02,8.02,8.02,250.02, 7.81,33.43,1
03/10/2020,17:00:00,40,13.03,8.04,8.04,8.04,260.67, 8.15,33.42,1
03/10/2020,17:30:00,40,13.05,8.03,8.03,8.03,258.61, 8.08,33.42,1
03/10/2020,18:00:00,40,13.08,8.04,8.04,8.04,259.57, 8.11,33.43,1
03/10/2020,18:30:00,40,13.08,8.04,8.04,8.04,258.56, 8.08,33.42,1
03/10/2020,19:00:00,40,13.08,8.03,8.03,8.03,257.80, 8.06,33.42,1
03/10/2020,19:30:00,40,13.10,8.03,8.03,8.03,258.32, 8.07,33.42,1
03/10/2020,20:00:00,40,13.03,8.02,8.02,8.02,250.39, 7.83,33.43,1
03/10/2020,20:30:00,40,12.90,7.99,7.99,7.99,239.79, 7.49,33.43,1
03/10/2020,21:00:00,40,12.85,8.00,8.00,8.00,240.89, 7.53,33.43,1
03/10/2020,21:30:00,40,12.90,8.01,8.01,8.01,248.25, 7.76,33.43,1
03/10/2020,22:00:00,40,12.99,8.03,8.03,8.03,255.53, 7.99,33.41,1
03/10/2020,22:30:00,40,13.02,8.03,8.03,8.03,254.81, 7.96,33.42,1
03/10/2020,23:00:00,40,13.03,8.03,8.03,8.03,254.42, 7.95,33.41,1
03/10/2020,23:30:00,40,12.98,8.01,8.01,8.01,247.09, 7.72,33.42,1
03/11/2020,00:00:00,40,12.93,8.00,8.00,8.00,243.04, 7.60,33.43,1
03/11/2020,00:30:00,40,12.91,8.00,8.00,8.00,242.59, 7.58,33.42,1
03/11/2020,01:00:00,40,12.88,8.00,8.00,8.00,242.34, 7.57,33.43,1
03/11/2020,01:30:00,40,12.87,7.99,7.99,7.99,240.26, 7.51,33.43,1
03/11/2020,02:00:00,40,12.83,7.99,7.99,7.99,238.42, 7.45,33.43,1
03/11/2020,02:30:00,40,12.76,7.98,7.98,7.98,232.72, 7.27,33.44,1
03/11/2020,03:00:00,40,12.84,7.99,7.99,7.99,240.89, 7.53,33.43,1
03/11/2020,03:30:00,40,12.92,8.01,8.01,8.01,248.53, 7.77,33.42,1
03/11/2020,04:00:00,40,12.96,8.01,8.01,8.01,248.10, 7.75,33.42,1
03/11/2020,04:30:00,40,12.95,8.00,8.00,8.00,244.73, 7.65,33.42,1
03/11/2020,05:00:00,40,12.96,8.01,8.01,8.01,247.82, 7.74,33.42,1
03/11/2020,05:30:00,40,12.91,7.99,7.99,7.99,240.10, 7.50,33.42,1
03/11/2020,06:00:00,40,12.92,8.00,8.00,8.00,243.26, 7.60,33.42,1
03/11/2020,06:30:00,40,12.95,8.01,8.01,8.01,248.23, 7.76,33.42,1
03/11/2020,07:00:00,40,12.96,8.02,8.02,8.02,250.51, 7.83,33.42,1
03/11/2020,07:30:00,40,12.96,8.02,8.02,8.02,250.36, 7.82,33.42,1
03/11/2020,08:00:00,40,12.94,8.01,8.01,8.01,247.07, 7.72,33.42,1
03/11/2020,08:30:00,40,12.91,8.00,8.00,8.00,243.91, 7.62,33.42,1
03/11/2020,09:00:00,40,12.90,8.00,8.00,8.00,244.40, 7.64,33.42,1
03/11/2020,09:30:00,40,12.89,8.00,8.00,8.00,244.71, 7.65,33.42,1
03/11/2020,10:00:00,40,12.89,8.01,8.01,8.01,246.01, 7.69,33.42,1
03/11/2020,10:30:00,40,12.90,8.01,8.01,8.01,247.07, 7.72,33.42,1
03/11/2020,11:00:00,40,12.90,8.01,8.01,8.01,247.74, 7.74,33.42,1
03/11/2020,11:30:00,40,12.90,8.01,8.01,8.01,248.65, 7.77,33.42,1
03/11/2020,12:00:00,40,12.91,8.02,8.02,8.02,250.30, 7.82,33.42,1
03/11/2020,12:30:00,40,12.92,8.02,8.02,8.02,251.67, 7.87,33.42,1
03/11/2020,13:00:00,40,12.83,8.00,8.00,8.00,241.53, 7.55,33.43,1
03/11/2020,13:30:00,40,12.79,7.99,7.99,7.99,239.40, 7.48,33.43,1
03/11/2020,14:00:00,40,12.79,8.00,8.00,8.00,241.56, 7.55,33.43,1
03/11/2020,14:30:00,40,12.81,8.00,8.00,8.00,242.44, 7.58,33.43,1
03/11/2020,15:00:00,40,12.80,8.00,8.00,8.00,241.88, 7.56,33.43,1
03/11/2020,15:30:00,40,12.81,8.00,8.00,8.00,242.01, 7.56,33.43,1
03/11/2020,16:00:00,40,12.81,8.00,8.00,8.00,241.59, 7.55,33.43,1
03/11/2020,16:30:00,40,12.81,8.00,8.00,8.00,242.06, 7.56,33.43,1
03/11/2020,17:00:00,40,12.82,8.00,8.00,8.00,242.35, 7.57,33.43,1
03/11/2020,17:30:00,40,12.86,8.01,8.01,8.01,248.90, 7.78,33.43,1
03/11/2020,18:00:00,40,12.90,8.01,8.01,8.01,248.81, 7.78,33.42,1
03/11/2020,18:30:00,40,12.90,8.01,8.01,8.01,248.07, 7.75,33.42,1
03/11/2020,19:00:00,40,12.90,8.01,8.01,8.01,247.73, 7.74,33.43,1
03/11/2020,19:30:00,40,12.90,8.01,8.01,8.01,247.18, 7.72,33.43,1
03/11/2020,20:00:00,40,12.91,8.01,8.01,8.01,248.69, 7.77,33.43,1
03/11/2020,20:30:00,40,13.00,8.03,8.03,8.03,255.90, 8.00,33.42,1
03/11/2020,21:00:00,40,13.11,8.04,8.04,8.04,258.36, 8.07,33.42,1
03/11/2020,21:30:00,40,13.09,8.03,8.03,8.03,254.57, 7.96,33.42,1
03/11/2020,22:00:00,40,13.08,8.02,8.02,8.02,252.70, 7.90,33.42,1
03/11/2020,22:30:00,40,13.06,8.02,8.02,8.02,251.40, 7.86,33.42,1
03/11/2020,23:00:00,40,13.06,8.02,8.02,8.02,249.30, 7.79,33.42,1
03/11/2020,23:30:00,40,13.05,8.01,8.01,8.01,247.54, 7.74,33.42,1
03/12/2020,00:00:00,40,13.03,8.01,8.01,8.01,246.07, 7.69,33.42,1
03/12/2020,00:30:00,40,13.01,8.01,8.01,8.01,246.57, 7.71,33.42,1
03/12/2020,01:00:00,40,13.00,8.01,8.01,8.01,245.28, 7.67,33.42,1
03/12/2020,01:30:00,40,12.97,8.00,8.00,8.00,243.10, 7.60,33.43,1
03/12/2020,02:00:00,40,12.87,7.99,7.99,7.99,236.33, 7.39,33.44,1
03/12/2020,02:30:00,40,12.85,7.98,7.98,7.98,235.61, 7.36,33.44,1
03/12/2020,03:00:00,40,12.85,7.99,7.99,7.99,237.34, 7.42,33.43,1
03/12/2020,03:30:00,40,12.86,7.99,7.99,7.99,238.10, 7.44,33.43,1
03/12/2020,04:00:00,40,12.93,8.00,8.00,8.00,241.14, 7.54,33.42,1
03/12/2020,04:30:00,40,12.94,7.99,7.99,7.99,239.69, 7.49,33.43,1
03/12/2020,05:00:00,40,12.94,8.00,8.00,8.00,240.91, 7.53,33.43,1
03/12/2020,05:30:00,40,12.96,8.00,8.00,8.00,242.83, 7.59,33.43,1
03/12/2020,06:00:00,40,13.04,8.02,8.02,8.02,251.23, 7.85,33.42,1
03/12/2020,06:30:00,40,13.05,8.02,8.02,8.02,250.06, 7.81,33.42,1
03/12/2020,07:00:00,40,13.09,8.02,8.02,8.02,251.86, 7.87,33.42,1
03/12/2020,07:30:00,40,13.12,8.03,8.03,8.03,254.68, 7.96,33.42,1
03/12/2020,08:00:00,40,13.13,8.03,8.03,8.03,254.88, 7.97,33.42,1
03/12/2020,08:30:00,40,13.12,8.03,8.03,8.03,256.63, 8.02,33.42,1
03/12/2020,09:00:00,40,13.13,8.04,8.04,8.04,259.11, 8.10,33.42,1
03/12/2020,09:30:00,40,13.14,8.04,8.04,8.04,259.56, 8.11,33.42,1
03/12/2020,10:00:00,40,13.12,8.03,8.03,8.03,257.62, 8.05,33.43,1
03/12/2020,10:30:00,40,13.07,8.02,8.02,8.02,248.96, 7.78,33.43,1
03/12/2020,11:00:00,40,13.01,8.00,8.00,8.00,243.67, 7.62,33.44,1
03/12/2020,11:30:00,40,12.96,8.00,8.00,8.00,241.22, 7.54,33.44,1
03/12/2020,12:00:00,40,12.96,8.00,8.00,8.00,243.99, 7.63,33.43,1
03/12/2020,12:30:00,40,12.95,8.00,8.00,8.00,242.95, 7.59,33.44,1
03/12/2020,13:00:00,40,12.86,7.99,7.99,7.99,237.55, 7.42,33.44,1
03/12/2020,13:30:00,40,12.79,7.98,7.98,7.98,235.35, 7.36,33.45,1
