H,Tub,Date,Temp,pH,DO1,DO2,Salinity,Time
H1,1A,9/14/19,11.9,7.83,7.13,82.6,34.59,11:34
H1,1B,9/14/19,11.9,7.85,7.22,82.5,34.59,11:35
H1,1C,9/14/19,11.2,7.84,7.17,81.9,34.59,11:35
H2,2A,9/14/19,11.8,7.73,6.6,75.1,34.59,11:37
H2,2B,9/14/19,11.8,7.74,6.47,73.5,34.59,11:39
H2,2C,9/14/19,12.5,7.73,6.26,73.3,34.61,11:41
H3,3A,9/14/19,11.5,7.67,6.04,68.7,34.59,11:42
H3,3B,9/14/19,11.5,7.67,5.99,68.3,34.59,11:43
H3,3C,9/14/19,11.5,7.68,6.06,68.9,34.59,11:44
H4,4A,9/14/19,11.2,7.57,5.6,63.5,34.59,11:45
H4,4B,9/14/19,11.4,7.57,5.49,62,34.59,11:46
H4,4C,9/14/19,11.3,7.57,5.53,62.9,34.59,11:47
H5,5A,9/14/19,11.2,7.56,5.41,61.3,34.59,11:48
H5,5B,9/14/19,11.2,7.55,5.33,60.5,34.58,11:49
H5,5C,9/14/19,11.3,7.56,5.35,60.9,34.58,11:50
H6,6A,9/14/19,11.1,7.53,5.24,59,34.59,11:51
H6,6B,9/14/19,11.1,7.53,5.22,59.1,34.59,11:52
H6,6C,9/14/19,11.2,7.52,5.22,59.2,34.58,11:53
H1,1A,9/15/19,12.2,7.84,7.45,86.2,34.59,13:05
H1,1B,9/15/19,12.1,7.86,6.87,79.9,34.59,13:06
H1,1C,9/15/19,12.2,7.87,7.07,82,34.59,13:07
H2,2A,9/15/19,12,7.78,6.64,76.8,34.59,13:08
H2,2B,9/15/19,12,7.77,6.67,77,34.59,13:09
H2,2C,9/15/19,12.1,7.78,6.69,77.3,34.59,13:10
H3,3A,9/15/19,11.7,7.68,6.09,70,34.58,13:11
H3,3B,9/15/19,11.7,7.69,6.04,69.2,34.58,13:13
H3,3C,9/15/19,11.7,7.69,6.11,70.4,34.59,13:13
H4,4A,9/15/19,11.5,7.6,5.69,65.1,34.58,13:14
H4,4B,9/15/19,11.5,7.58,5.74,65.8,34.58,13:15
H4,4C,9/15/19,11.6,7.59,5.57,63.6,34.58,13:16
H5,5A,9/15/19,11.4,7.54,5.5,63,34.58,13:17
H5,5B,9/15/19,11.3,7.54,5.36,61,34.58,13:18
H5,5C,9/15/19,11.4,7.54,5.43,62.1,34.58,13:19
H6,6A,9/15/19,11.4,7.5,5.22,59.4,34.58,13:20
H6,6B,9/15/19,11.3,7.49,5.16,58.8,34.57,13:21
H6,6C,9/15/19,11.4,7.49,5.23,59.6,34.58,13:22
H1,1A,9/16/19,12.1,7.84,5.88,68,34.58,10:42
H1,1B,9/16/19,12.1,7.85,5.79,66.9,34.58,10:44
H1,1C,9/16/19,12.2,7.85,5.99,69.5,34.58,10:45
H2,2A,9/16/19,11.9,7.76,5.66,65.1,34.59,10:50
H2,2B,9/16/19,11.9,7.76,5.73,66,34.57,10:51
H2,2C,9/16/19,12.1,7.78,5.83,67.4,34.58,10:53
H3,3A,9/16/19,11.8,7.75,5.42,62.3,34.58,11:03
H3,3B,9/16/19,11.8,7.74,5.34,61.3,34.58,11:05
H3,3C,9/16/19,11.8,7.75,5.42,62.3,34.57,11:06
H4,4A,9/16/19,11.5,7.62,4.96,56.7,34.55,11:12
H4,4B,9/16/19,11.6,7.6,4.88,55.8,34.57,11:13
H4,4C,9/16/19,11.6,7.61,4.95,56.6,34.56,11:15
H5,5A,9/16/19,11.5,7.56,4.82,54.9,34.57,11:19
H5,5B,9/16/19,11.4,7.54,4.66,53.1,34.56,11:21
H5,5C,9/16/19,11.5,7.56,4.8,54.7,34.58,11:22
H6,6A,9/16/19,11.4,7.52,4.74,53.9,34.57,11:26
H6,6B,9/16/19,11.4,7.52,4.7,53.5,34.57,11:27
H6,6C,9/16/19,11.4,7.52,4.79,54.6,34.55,11:29
H1,1A,9/17/19,12,7.86,7.57,87.2,34.59,11:11
H1,1B,9/17/19,11.9,7.87,7.76,89.4,34.59,11:13
H1,1C,9/17/19,12.1,7.87,7.82,90.3,34.59,11:14
H2,2A,9/17/19,11.6,7.76,7.09,81.1,34.58,11:19
H2,2B,9/17/19,11.8,7.77,6.76,77.7,34.59,11:21
H2,2C,9/17/19,11.8,7.79,7.29,83.7,34.59,11:23
H3,3A,9/17/19,11.1,7.71,6.51,73.6,34.57,11:30
H3,3B,9/17/19,11.1,7.71,6.37,72.1,34.58,11:31
H3,3C,9/17/19,11.1,7.71,6.44,72.9,34.58,11:33
H4,4A,9/17/19,10.8,7.61,5.61,63.1,34.58,11:38
H4,4B,9/17/19,10.8,7.6,5.47,61.5,34.58,11:39
H4,4C,9/17/19,10.9,7.61,5.55,62.6,34.58,11:41
H5,5A,9/17/19,10.7,7.57,5.27,59,34.58,11:45
H5,5B,9/17/19,10.7,7.55,5.13,57.6,34.58,11:46
H5,5C,9/17/19,10.7,7.56,5.26,59,34.57,11:48
H6,6A,9/17/19,10.4,7.5,4.68,52.1,34.58,11:53
H6,6B,9/17/19,10.5,7.51,4.64,51.8,34.57,11:54
H6,6C,9/17/19,10.4,7.51,4.65,51.9,34.58,11:55
H1,1A,9/18/19,12.4,7.86,7.57,88.1,34.5,10:34
H1,1B,9/18/19,12.4,7.85,7.93,85.8,34.5,10:35
H1,1C,9/18/19,12.5,7.86,7.36,85.6,34.51,10:36
H2,2A,9/18/19,12,7.78,6.88,79.4,34.5,10:41
H2,2B,9/18/19,12.2,7.73,6.52,75.5,34.54,10:43
H2,2C,9/18/19,12.1,7.78,6.83,78.8,34.5,10:44
H3,3A,9/18/19,11.3,7.71,6.02,68.4,34.47,10:48
H3,3B,9/18/19,11.4,7.7,6.06,68.9,34.47,10:50
H3,3C,9/18/19,11.3,7.7,5.98,67.9,34.48,10:51
H4,4A,9/18/19,10.9,7.61,5.21,58.6,34.47,10:54
H4,4B,9/18/19,11,7.6,5.32,60,34.47,10:56
H4,4C,9/18/19,11,7.6,5.09,57.4,34.49,10:57
H5,5A,9/18/19,10.8,7.57,5.11,57.3,34.47,11:01
H5,5B,9/18/19,10.8,7.55,4.83,54.3,34.49,11:02
H5,5C,9/18/19,10.8,7.56,4.94,55.5,34.47,11:04
H6,6A,9/18/19,10.5,7.51,4.62,51.5,34.45,11:08
H6,6B,9/18/19,10.6,7.51,4.54,50.7,34.46,11:09
H6,6C,9/18/19,10.6,7.52,4.66,52.1,34.45,11:11
H1,1A,9/19/19,12.6,7.83,7.86,91.7,34.47,12:39
H1,1B,9/19/19,12.5,7.83,7.69,89.6,34.48,12:40
H1,1C,9/19/19,12.6,7.84,7.77,90.7,34.47,12:41
H2,2A,9/19/19,12.1,7.74,7.16,82.7,34.48,12:42
H2,2B,9/19/19,12.1,7.73,6.97,80.6,34.47,12:42
H2,2C,9/19/19,12.5,7.73,6.99,80.3,34.46,12:43
H3,3A,9/19/19,11.4,7.67,6.17,70.2,34.47,12:44
H3,3B,9/19/19,11.4,7.67,6.29,71.6,34.6,12:44
H3,3C,9/19/19,11.4,7.67,6.1,69.4,34.46,12:45
H4,4A,9/19/19,10.9,7.59,5.4,60.3,34.47,12:45
H4,4B,9/19/19,10.9,7.57,5.29,59.6,34.45,12:46
H4,4C,9/19/19,11,7.57,5.25,59.2,34.46,12:46
H5,5A,9/19/19,10.6,7.54,5.14,57.5,34.47,12:47
H5,5B,9/19/19,10.7,7.53,5.04,56.6,34.48,12:48
H5,5C,9/19/19,10.7,7.53,5.01,56.2,34.47,12:48
H6,6A,9/19/19,10,7.48,4.5,50.1,34.47,12:49
H6,6B,9/19/19,10.4,7.47,4.49,49.9,34.47,12:50
H6,6C,9/19/19,10.4,7.48,4.54,50.5,34.46,12:50
H1,1A,9/20/19,12.8,7.72,7.23,84.6,34.54,10:11
H1,1B,9/20/19,12.6,7.7,7.28,85.1,34.55,10:13
H1,1C,9/20/19,12.8,7.79,7.07,83,34.54,10:14
H2,2A,9/20/19,12.4,7.69,6.48,75.4,34.54,10:16
H2,2B,9/20/19,12.4,7.68,6.3,73.3,34.54,10:17
H2,2C,9/20/19,12.5,7.73,6.75,78.7,34.53,10:18
H3,3A,9/20/19,12,7.66,5.79,66.7,34.53,10:19
H3,3B,9/20/19,11.8,7.64,5.69,65.4,34.53,10:21
H3,3C,9/20/19,11.9,7.65,5.64,64.9,54.53,10:22
H4,4A,9/20/19,11.5,7.57,5.14,58.7,34.52,10:23
H4,4B,9/20/19,11.5,7.55,5.02,27.3,34.53,10:24
H4,4C,9/20/19,11.5,7.56,5.09,58,34.53,10:24
H5,5A,9/20/19,11.3,7.53,4.93,56,34.52,10:25
H5,5B,9/20/19,11.2,7.51,4.87,55.2,34.53,10:27
H5,5C,9/20/19,11.3,7.51,4.81,54.7,34.52,10:28
H6,6A,9/20/19,11.1,7.49,4.66,52.7,34.52,10:29
H6,6B,9/20/19,11.1,7.49,4.68,53,34.52,10:29
H6,6C,9/20/19,11.2,7.49,4.77,53.4,34.52,10:30
H1,1A,9/21/19,12.7,7.83,7.09,82.5,34.55,12:08
H1,1B,9/21/19,12.6,7.86,7.1,82.3,34.55,12:09
H1,1C,9/21/19,12.7,7.87,7.34,84.9,34.53,12:10
H2,2A,9/21/19,12.4,7.79,7.12,82.3,34.56,12:11
H2,2B,9/21/19,12.6,7.73,6.65,78,34.58,12:12
H2,2C,9/21/19,12.8,7.76,6.83,79.3,34.58,12:13
H3,3A,9/21/19,11.7,7.69,6,68.1,34.55,12:14
H3,3B,9/21/19,11.7,7.68,5.93,68.1,34.54,12:14
H3,3C,9/21/19,11.7,7.69,5.9,67.5,34.54,12:15
H4,4A,9/21/19,11.1,7.59,5.5,62.5,34.53,12:16
H4,4B,9/21/19,11.3,7.6,5.35,60.9,34.53,12:17
H4,4C,9/21/19,11.4,7.58,5.34,61,34.54,12:18
H5,5A,9/21/19,11.1,7.55,5.42,61.3,34.54,12:19
H5,5B,9/21/19,11.2,7.54,5.23,59.3,34.53,12:21
H5,5C,9/21/19,11.2,7.54,5.1,57.7,34.54,12:21
H6,6A,9/21/19,11,7.52,5.08,57.5,34.54,12:23
H6,6B,9/21/19,11,7.51,4.99,56.5,34.54,12:24
H6,6C,9/21/19,11,7.51,4.81,54.4,34.53,12:25
H1,1A,9/22/19,12.8,7.82,7.03,82.4,34.55,12:08
H1,1B,9/22/19,12.7,7.84,7.13,83.6,34.56,12:09
H1,1C,9/22/19,12.8,7.84,7.12,83.4,34.55,12:10
H2,2A,9/22/19,12.5,7.77,6.89,80.3,34.55,12:11
H2,2B,9/22/19,12.5,7.72,6.66,77.5,34.56,12:12
H2,2C,9/22/19,12.8,7.68,6.15,71,34.56,12:13
H3,3A,9/22/19,11.7,7.67,5.82,66.7,34.55,12:14
H3,3B,9/22/19,11.7,7.68,8.57,66.2,34.55,12:15
H3,3C,9/22/19,11.7,7.68,5.85,66.9,34.56,12:16
H4,4A,9/22/19,11.3,7.59,5.15,58.6,34.56,12:18
H4,4B,9/22/19,11.3,7.59,5.2,59.2,34.54,12:19
H4,4C,9/22/19,11.4,7.59,5.13,58.1,34.55,12:19
H5,5A,9/22/19,11.1,7.54,4.94,58.7,34.54,12:20
H5,5B,9/22/19,11.2,7.54,4.92,55.8,34.54,12:21
H5,5C,9/22/19,11.2,7.54,4.85,55.1,34.54,12:22
H6,6A,9/22/19,10.9,7.5,4.83,54.5,34.54,12:23
H6,6B,9/22/19,11.1,7.5,4.75,53.7,34.54,12:25
H6,6C,9/22/19,11,7.5,4.74,53.6,34.54,12:25
H1,1A,9/23/19,12.8,7.81,6.93,80.9,34.56,12:16
H1,1B,9/23/19,12.8,7.83,6.87,79.3,34.57,12:17
H1,1C,9/23/19,12.8,7.83,6.65,78.1,34.57,12:18
H2,2A,9/23/19,12.5,7.76,6.68,77.9,34.57,12:19
H2,2B,9/23/19,12.8,7.73,6.44,74.5,34.58,12:20
H2,2C,9/23/19,12.7,7.76,6.81,79.9,34.56,12:21
H3,3A,9/23/19,11.8,7.66,5.51,62.9,34.57,12:22
H3,3B,9/23/19,11.8,7.67,5.52,63.4,34.56,12:23
H3,3C,9/23/19,11.8,7.66,5.34,61.6,34.56,12:24
H4,4A,9/23/19,11.4,7.57,4.8,54.9,34.55,12:25
H4,4B,9/23/19,11.4,7.57,4.77,54.6,34.56,12:26
H4,4C,9/23/19,11.5,7.58,4.82,55,34.56,12:27
H5,5A,9/23/19,11.2,7.53,4.61,52.3,34.56,12:28
H5,5B,9/23/19,11.3,7.53,4.67,53.1,34.55,12:29
H5,5C,9/23/19,11.3,7.53,4.6,52.3,34.56,12:30
H6,6A,9/23/19,11.1,7.5,4.54,51.5,34.55,12:31
H6,6B,9/23/19,11.2,7.49,4.54,51.4,34.55,12:32
H6,6C,9/23/19,11.2,7.49,4.53,51.5,34.55,12:33
