H,ID,DATE,Temp,pH,DO1,DO2,Salinity,Time
H1,1A,6/22/20,13.9,8,7.32,88,34.82,11:25
H1,1B,6/22/20,13.9,8.01,7.34,88.4,34.81,11:26
H1,1C,6/22/20,13.9,8.01,7.39,88.9,34.81,11:27
H2,2A,6/22/20,13.4,7.94,7.24,86.1,34.81,11:27
H2,2B,6/22/20,13.5,7.94,7.13,84.9,34.82,11:28
H2,2C,6/22/20,13.5,7.94,7.04,84,34.83,11:29
H3,3A,6/22/20,12.5,7.73,5.8,67.5,34.81,11:30
H3,3B,6/22/20,12.5,7.73,5.69,66.5,34.81,11:31
H3,3C,6/22/20,12.6,7.74,5.59,65.4,34.8,11:32
H4,4A,6/22/20,12.5,7.72,5.44,63.4,34.81,11:32
H4,4B,6/22/20,12.5,7.72,5.41,63.3,34.81,11:33
H4,4C,6/22/20,12.5,7.72,5.42,63.2,34.82,11:34
H5,5A,6/22/20,12.4,7.67,5.14,59.6,34.8,11:34
H5,5B,6/22/20,12.3,7.65,6.09,71.1,34.81,11:34
H5,5C,6/22/20,12.6,7.66,5.17,60.5,34.81,11:36
H6,6A,6/22/20,12.3,7.65,5.21,60.1,34.8,11:37
H6,6B,6/22/20,12.4,7.65,6.12,70.7,34.82,11:37
H6,6C,6/22/20,12.3,7.65,5.25,60.9,34.8,11:38
H1,1A,6/23/20,12.8,7.84,6.53,76.8,34.9,12:59
H1,1B,6/23/20,12.8,7.84,6.69,78.5,34.9,12:59
H1,1C,6/23/20,12.8,7.85,6.66,78.1,34.9,13:00
H2,2A,6/23/20,12.6,7.77,6.39,74.7,34.9,13:01
H2,2B,6/23/20,12.6,7.77,6.38,74.6,34.89,13:02
H2,2C,6/23/20,12.6,7.78,6.52,76.3,34.9,13:03
H3,3A,6/23/20,12.4,7.73,6.17,71.9,34.89,13:05
H3,3B,6/23/20,12.4,7.73,6.14,71.5,34.9,13:06
H3,3C,6/23/20,12.4,7.73,6.22,72.6,34.89,13:07
H4,4A,6/23/20,12.1,7.66,5.89,68.2,34.89,13:08
H4,4B,6/23/20,12.1,7.66,5.86,67.9,34.9,13:10
H4,4C,6/23/20,12.2,7.66,5.8,67.2,34.88,13:11
H5,5A,6/23/20,12.1,7.66,5.99,69.3,34.88,13:12
