// Site Name:	SWC
// Sensor:	SAT333
// QF follow QARTOD. 1 = pass, 2 = not evaluated, 3 = Suspect, 4 = Fail

Date_UTC,Time_UTC,Depth,Temperature,pH_int,pH_extT,pH_extF,OxyUM,OxymgL,Sal,QC
11/30/2016,14:30:00,30,12.66,7.89,7.90,7.97,187.39, 5.86,33.34,1
11/30/2016,14:45:00,30,12.67,7.90,7.90,7.97,186.78, 5.84,33.34,1
11/30/2016,15:00:00,30,12.67,7.90,7.90,7.97,187.82, 5.87,33.34,1
11/30/2016,15:15:00,30,12.67,7.90,7.90,7.97,188.31, 5.88,33.34,1
11/30/2016,15:30:00,30,12.69,7.91, NaN, NaN,   NaN,  NaN,  NaN,1
11/30/2016,15:45:00,30,12.70,7.91, NaN, NaN,   NaN,  NaN,  NaN,1
11/30/2016,16:00:00,30,12.71,7.91,7.92,7.99,194.24, 6.07,33.33,1
11/30/2016,16:15:00,30,12.72,7.91,7.91,7.98,194.52, 6.08,33.33,1
11/30/2016,16:30:00,30,12.72,7.91,7.91,7.98,194.02, 6.06,33.33,1
11/30/2016,16:45:00,30,12.72,7.91,7.91,7.98,193.05, 6.03,33.33,1
11/30/2016,17:00:00,30,12.72,7.91,7.92,7.99,193.00, 6.03,33.33,1
11/30/2016,17:15:00,30,12.72,7.91,7.92,7.99,195.74, 6.12,33.34,3
11/30/2016,17:30:00,30,12.69,7.90,7.90,7.97,191.95, 6.00,33.33,1
11/30/2016,17:45:00,30,12.69,7.90,7.90,7.97,189.68, 5.93,33.34,1
11/30/2016,18:00:00,30,12.68,7.90,7.90,7.97,187.78, 5.87,33.34,1
11/30/2016,18:15:00,30,12.67,7.90,7.90,7.97,187.47, 5.86,33.34,1
11/30/2016,18:30:00,30,12.67,7.90,7.90,7.97,187.54, 5.86,33.34,1
11/30/2016,18:45:00,30,12.67,7.89,7.90,7.97,187.01, 5.84,33.34,1
11/30/2016,19:00:00,30,12.67,7.90,7.90,7.97,186.43, 5.83,33.34,1
11/30/2016,19:15:00,30,12.67,7.89,7.90,7.97,186.45, 5.83,33.34,1
11/30/2016,19:30:00,30,12.66,7.89,7.89,7.96,184.77, 5.77,33.34,1
11/30/2016,19:45:00,30,12.60,7.88,7.88,7.95,181.21, 5.66,33.35,1
11/30/2016,20:00:00,30,12.56,7.87,7.88,7.95,177.51, 5.55,33.36,1
11/30/2016,20:15:00,30,12.47,7.86,7.87,7.94,172.78, 5.40,33.37,3
11/30/2016,20:30:00,30,12.42,7.86,7.86,7.93,168.11, 5.25,33.38,1
11/30/2016,20:45:00,30,12.39,7.85,7.86,7.93,166.05, 5.19,33.38,1
11/30/2016,21:00:00,30,12.37,7.85,7.86,7.93,164.97, 5.16,33.38,1
11/30/2016,21:15:00,30,12.37,7.85,7.86,7.93,164.82, 5.15,33.38,1
11/30/2016,21:30:00,30,12.35,7.85,7.86,7.93,164.39, 5.14,33.38,1
11/30/2016,21:45:00,30,12.35,7.85,7.86,7.92,163.80, 5.12,33.38,1
11/30/2016,22:00:00,30,12.36,7.85,7.86,7.93,163.93, 5.12,33.38,1
11/30/2016,22:15:00,30,12.36,7.85,7.86,7.92,163.88, 5.12,33.38,1
