// Site Name:	SWC
// Sensor:	SP20131
// QF follow QARTOD. 1 = pass, 2 = not evaluated, 3 = Suspect, 4 = Fail

Date_UTC,Time_UTC,Depth,Temperature,pH_int,pH_extT,pH_extF,OxyUM,OxymgL,Sal,QC
02/07/2019,17:00:00,38,13.97,8.01,8.01,8.08,253.85, 7.93,32.90,1
02/07/2019,17:15:00,38,13.97,8.01,8.01,8.08,254.10, 7.94,32.92,1
02/07/2019,17:30:00,38,13.96,8.01,8.01,8.08,253.77, 7.93,32.95,1
02/07/2019,17:45:00,38,13.96,8.01,8.01,8.08,252.99, 7.91,32.98,1
02/07/2019,18:00:00,38,13.95,8.01,8.01,8.08,252.94, 7.90,32.99,1
02/07/2019,18:15:00,38,13.94,8.01,8.01,8.08,252.60, 7.89,33.02,1
02/07/2019,18:30:00,38,13.93,8.01,8.01,8.08,251.17, 7.85,33.08,1
02/07/2019,18:45:00,38,13.93,8.01,8.01,8.08,247.96, 7.75,33.15,1
02/07/2019,19:00:00,38,13.93,8.01,8.01,8.08,244.93, 7.65,33.24,1
02/07/2019,19:15:00,38,13.94,8.01,8.02,8.09,243.52, 7.61,33.28,1
02/07/2019,19:30:00,38,13.95,8.01,8.01,8.09,241.69, 7.55,33.31,1
02/07/2019,19:45:00,38,13.95,8.01,8.01,8.09,240.00, 7.50,33.33,1
02/07/2019,20:00:00,38,13.96,8.01,8.01,8.09,240.34, 7.51,33.33,1
02/07/2019,20:15:00,38,13.96,8.01,8.01,8.09,240.19, 7.51,33.33,1
02/07/2019,20:30:00,38,13.97,8.01,8.01,8.09,240.07, 7.50,33.34,1
02/07/2019,20:45:00,38,13.98,8.01,8.01,8.09,239.85, 7.50,33.35,1
02/07/2019,21:00:00,38,13.99,8.01,8.01,8.09,239.77, 7.49,33.35,1
02/07/2019,21:15:00,38,14.00,8.01,8.01,8.09,239.52, 7.49,33.36,1
02/07/2019,21:30:00,38,14.00,8.01,8.02,8.09,239.32, 7.48,33.36,1
02/07/2019,21:45:00,38,14.00,8.01,8.01,8.09,238.86, 7.46,33.37,1
02/07/2019,22:00:00,38,13.99,8.01,8.01,8.09,238.51, 7.45,33.37,1
02/07/2019,22:15:00,38,13.99,8.01,8.01,8.09,237.81, 7.43,33.38,1
02/07/2019,22:30:00,38,13.99,8.01,8.01,8.09,238.05, 7.44,33.38,1
02/07/2019,22:45:00,38,13.99,8.01,8.01,8.09,238.20, 7.44,33.37,1
02/07/2019,23:00:00,38,13.99,8.01,8.01,8.09,238.33, 7.45,33.36,1
02/07/2019,23:15:00,38,13.98,8.01,8.01,8.09,238.30, 7.45,33.37,1
02/07/2019,23:30:00,38,13.98,8.01,8.01,8.08,237.35, 7.42,33.37,1
02/07/2019,23:45:00,38,13.95,8.01,8.01,8.08,235.58, 7.36,33.38,1
02/08/2019,00:00:00,38,13.93,8.01,8.01,8.08,235.28, 7.35,33.39,1
02/08/2019,00:15:00,38,13.91,8.01,8.01,8.08,234.55, 7.33,33.39,1
02/08/2019,00:30:00,38,13.89,8.00,8.01,8.08,233.37, 7.29,33.40,1
02/08/2019,00:45:00,38,13.88,8.00,8.01,8.08,232.40, 7.26,33.40,1
02/08/2019,01:00:00,38,13.87,8.00,8.01,8.08,232.44, 7.26,33.40,1
02/08/2019,01:15:00,38,13.86,8.00,8.01,8.08,232.52, 7.27,33.40,1
02/08/2019,01:30:00,38,13.85,8.00,8.01,8.08,232.19, 7.26,33.40,1
02/08/2019,01:45:00,38,13.83,8.00,8.01,8.08,231.67, 7.24,33.40,1
02/08/2019,02:00:00,38,13.82,8.00,8.01,8.08,231.59, 7.24,33.41,1
02/08/2019,02:15:00,38,13.82,8.00,8.01,8.08,231.71, 7.24,33.41,1
02/08/2019,02:30:00,38,13.83,8.01,8.01,8.08,232.63, 7.27,33.40,1
02/08/2019,02:45:00,38,13.85,8.01,8.01,8.08,233.13, 7.29,33.40,1
02/08/2019,03:00:00,38,13.84,8.00,8.01,8.08,232.30, 7.26,33.40,1
02/08/2019,03:15:00,38,13.84,8.00,8.01,8.08,232.52, 7.27,33.40,1
02/08/2019,03:30:00,38,13.85,8.00,8.01,8.08,232.63, 7.27,33.40,1
02/08/2019,03:45:00,38,13.87,8.01,8.01,8.08,233.90, 7.31,33.39,1
02/08/2019,04:00:00,38,13.88,8.01,8.01,8.08,234.65, 7.33,33.39,1
02/08/2019,04:15:00,38,13.91,8.01,8.01,8.08,236.50, 7.39,33.38,1
02/08/2019,04:30:00,38,13.91,8.01,8.01,8.08,235.72, 7.37,33.38,1
02/08/2019,04:45:00,38,13.91,8.00,8.01,8.08,236.51, 7.39,33.32,1
02/08/2019,05:00:00,38,13.91,8.00,8.01,8.08,235.65, 7.36,33.36,1
02/08/2019,05:15:00,38,13.95,8.02,8.02,8.09,239.37, 7.48,33.37,1
02/08/2019,05:30:00,38,13.94,8.01,8.01,8.08,237.75, 7.43,33.38,1
02/08/2019,05:45:00,38,13.94,8.01,8.01,8.08,236.92, 7.40,33.38,1
02/08/2019,06:00:00,38,13.94,8.01,8.01,8.09,237.18, 7.41,33.38,1
02/08/2019,06:15:00,38,13.92,8.00,8.01,8.08,235.27, 7.35,33.38,1
02/08/2019,06:30:00,38,13.93,8.01,8.01,8.08,236.06, 7.38,33.38,1
02/08/2019,06:45:00,38,13.94,8.01,8.02,8.09,237.72, 7.43,33.38,1
02/08/2019,07:00:00,38,13.93,8.01,8.01,8.08,237.16, 7.41,33.38,1
02/08/2019,07:15:00,38,13.93,8.01,8.01,8.08,236.32, 7.39,33.38,1
02/08/2019,07:30:00,38,13.91,8.01,8.01,8.08,237.80, 7.43,33.36,1
02/08/2019,07:45:00,38,13.88,8.01,8.01,8.09,238.23, 7.45,33.36,1
02/08/2019,08:00:00,38,13.88,8.01,8.01,8.08,237.55, 7.42,33.37,1
02/08/2019,08:15:00,38,13.87,8.01,8.01,8.08,237.72, 7.43,33.36,1
02/08/2019,08:30:00,38,13.88,8.01,8.01,8.08,236.17, 7.38,33.38,1
02/08/2019,08:45:00,38,13.88,8.01,8.01,8.08,235.49, 7.36,33.38,1
02/08/2019,09:00:00,38,13.87,8.01,8.01,8.08,235.30, 7.35,33.38,1
02/08/2019,09:15:00,38,13.87,8.01,8.01,8.08,235.24, 7.35,33.38,1
02/08/2019,09:30:00,38,13.87,8.01,8.01,8.08,236.36, 7.39,33.37,1
02/08/2019,09:45:00,38,13.88,8.01,8.01,8.08,237.61, 7.43,33.36,1
02/08/2019,10:00:00,38,13.88,8.01,8.01,8.08,236.84, 7.40,33.37,1
02/08/2019,10:15:00,38,13.87,8.01,8.01,8.08,236.39, 7.39,33.37,1
02/08/2019,10:30:00,38,13.87,8.01,8.01,8.08,236.68, 7.40,33.37,1
02/08/2019,10:45:00,38,13.87,8.01,8.01,8.08,236.37, 7.39,33.38,1
02/08/2019,11:00:00,38,13.86,8.01,8.01,8.08,235.87, 7.37,33.38,1
02/08/2019,11:15:00,38,13.86,8.01,8.01,8.08,236.44, 7.39,33.37,1
02/08/2019,11:30:00,38,13.86,8.01,8.01,8.08,236.54, 7.39,33.38,1
02/08/2019,11:45:00,38,13.87,8.01,8.01,8.09,237.17, 7.41,33.37,1
02/08/2019,12:00:00,38,13.87,8.01,8.01,8.09,237.33, 7.42,33.37,1
02/08/2019,12:15:00,38,13.87,8.01,8.01,8.09,237.89, 7.43,33.36,1
02/08/2019,12:30:00,38,13.87,8.01,8.02,8.09,240.27, 7.51,33.32,1
02/08/2019,12:45:00,38,13.87,8.01,8.02,8.09,240.47, 7.52,33.33,1
02/08/2019,13:00:00,38,13.86,8.01,8.02,8.09,242.46, 7.58,33.26,1
02/08/2019,13:15:00,38,13.85,8.01,8.01,8.09,244.45, 7.64,33.23,1
02/08/2019,13:30:00,38,13.84,8.01,8.01,8.09,245.82, 7.68,33.21,1
02/08/2019,13:45:00,38,13.84,8.01,8.01,8.09,246.04, 7.69,33.20,1
02/08/2019,14:00:00,38,13.84,8.01,8.01,8.08,245.27, 7.67,33.23,1
02/08/2019,14:15:00,38,13.84,8.01,8.01,8.08,244.60, 7.64,33.24,1
02/08/2019,14:30:00,38,13.84,8.01,8.01,8.08,244.35, 7.64,33.23,1
02/08/2019,14:45:00,38,13.84,8.01,8.01,8.08,244.80, 7.65,33.20,1
02/08/2019,15:00:00,38,13.85,8.01,8.01,8.08,245.97, 7.69,33.19,1
02/08/2019,15:15:00,38,13.80,8.01,8.01,8.08,247.49, 7.73,33.10,1
02/08/2019,15:30:00,38,13.79,8.01,8.01,8.08,247.66, 7.74,33.10,1
02/08/2019,15:45:00,38,13.78,8.01,8.02,8.09,249.34, 7.79,33.06,1
02/08/2019,16:00:00,38,13.78,8.01,8.01,8.09,249.76, 7.81,33.06,1
02/08/2019,16:15:00,38,13.77,8.01,8.01,8.09,249.48, 7.80,33.03,1
02/08/2019,16:30:00,38,13.77,8.01,8.01,8.09,248.98, 7.78,33.05,1
02/08/2019,16:45:00,38,13.77,8.01,8.01,8.08,248.20, 7.76,33.05,1
02/08/2019,17:00:00,38,13.77,8.01,8.02,8.09,249.27, 7.79,33.04,1
02/08/2019,17:15:00,38,13.76,8.01,8.01,8.09,248.63, 7.77,33.05,1
02/08/2019,17:30:00,38,13.75,8.01,8.01,8.08,248.25, 7.76,33.05,1
02/08/2019,17:45:00,38,13.76,8.01,8.01,8.08,247.02, 7.72,33.07,1
02/08/2019,18:00:00,38,13.78,8.01,8.01,8.08,245.29, 7.67,33.12,1
02/08/2019,18:15:00,38,13.79,8.01,8.01,8.08,245.34, 7.67,33.16,1
02/08/2019,18:30:00,38,13.81,8.01,8.01,8.08,244.61, 7.64,33.19,1
02/08/2019,18:45:00,38,13.81,8.01,8.01,8.08,244.43, 7.64,33.18,1
02/08/2019,19:00:00,38,13.81,8.01,8.01,8.08,245.09, 7.66,33.17,1
02/08/2019,19:15:00,38,13.82,8.01,8.01,8.08,243.91, 7.62,33.19,1
02/08/2019,19:30:00,38,13.82,8.01,8.01,8.08,243.19, 7.60,33.20,1
02/08/2019,19:45:00,38,13.82,8.00,8.01,8.08,241.94, 7.56,33.22,1
02/08/2019,20:00:00,38,13.83,8.00,8.01,8.08,241.31, 7.54,33.25,1
02/08/2019,20:15:00,38,13.84,8.00,8.01,8.08,240.92, 7.53,33.25,1
02/08/2019,20:30:00,38,13.84,8.01,8.01,8.08,241.76, 7.56,33.25,1
02/08/2019,20:45:00,38,13.84,8.01,8.01,8.08,241.47, 7.55,33.26,1
02/08/2019,21:00:00,38,13.84,8.01,8.01,8.08,242.28, 7.57,33.26,1
02/08/2019,21:15:00,38,13.84,8.01,8.01,8.08,241.86, 7.56,33.26,1
02/08/2019,21:30:00,38,13.84,8.01,8.01,8.08,241.45, 7.55,33.27,1
02/08/2019,21:45:00,38,13.84,8.01,8.01,8.08,241.57, 7.55,33.27,1
02/08/2019,22:00:00,38,13.84,8.01,8.01,8.08,242.28, 7.57,33.26,1
02/08/2019,22:15:00,38,13.84,8.01,8.01,8.08,241.44, 7.55,33.27,1
02/08/2019,22:30:00,38,13.84,8.00,8.01,8.08,241.04, 7.53,33.27,1
02/08/2019,22:45:00,38,13.84,8.01,8.01,8.08,241.05, 7.53,33.28,1
02/08/2019,23:00:00,38,13.84,8.00,8.01,8.08,241.34, 7.54,33.29,1
02/08/2019,23:15:00,38,13.85,8.01,8.01,8.08,241.64, 7.55,33.30,1
02/08/2019,23:30:00,38,13.85,8.01,8.01,8.08,240.96, 7.53,33.30,1
02/08/2019,23:45:00,38,13.85,8.01,8.01,8.08,240.33, 7.51,33.31,1
02/09/2019,00:00:00,38,13.84,8.01,8.01,8.08,240.16, 7.51,33.31,1
02/09/2019,00:15:00,38,13.84,8.01,8.01,8.08,240.06, 7.50,33.31,1
02/09/2019,00:30:00,38,13.84,8.01,8.01,8.08,240.35, 7.51,33.30,1
02/09/2019,00:45:00,38,13.84,8.00,8.01,8.08,240.04, 7.50,33.31,1
02/09/2019,01:00:00,38,13.83,8.00,8.01,8.08,239.84, 7.50,33.31,1
02/09/2019,01:15:00,38,13.84,8.00,8.01,8.08,239.89, 7.50,33.29,1
02/09/2019,01:30:00,38,13.83,8.00,8.01,8.08,239.72, 7.49,33.28,1
02/09/2019,01:45:00,38,13.83,8.00,8.01,8.08,240.42, 7.51,33.27,1
02/09/2019,02:00:00,38,13.82,8.00,8.01,8.08,240.99, 7.53,33.26,1
02/09/2019,02:15:00,38,13.81,8.00,8.01,8.08,241.28, 7.54,33.23,1
02/09/2019,02:30:00,38,13.80,8.00,8.01,8.08,241.64, 7.55,33.23,1
02/09/2019,02:45:00,38,13.79,8.00,8.01,8.08,240.42, 7.51,33.27,1
02/09/2019,03:00:00,38,13.77,8.01,8.01,8.08,239.54, 7.49,33.30,1
02/09/2019,03:15:00,38,13.78,8.00,8.01,8.08,239.45, 7.48,33.29,1
02/09/2019,03:30:00,38,13.78,8.00,8.01,8.08,239.92, 7.50,33.29,1
02/09/2019,03:45:00,38,13.78,8.01,8.01,8.08,240.04, 7.50,33.27,1
02/09/2019,04:00:00,38,13.78,8.00,8.01,8.08,240.42, 7.51,33.26,1
02/09/2019,04:15:00,38,13.79,8.00,8.01,8.08,241.40, 7.54,33.24,1
02/09/2019,04:30:00,38,13.78,8.01,8.01,8.08,242.25, 7.57,33.22,1
02/09/2019,04:45:00,38,13.78,8.01,8.01,8.08,241.91, 7.56,33.24,1
02/09/2019,05:00:00,38,13.78,8.01,8.01,8.08,242.30, 7.57,33.23,1
02/09/2019,05:15:00,38,13.78,8.00,8.01,8.08,241.45, 7.55,33.25,1
02/09/2019,05:30:00,38,13.78,8.00,8.01,8.08,240.98, 7.53,33.27,1
02/09/2019,05:45:00,38,13.78,8.01,8.01,8.08,241.31, 7.54,33.27,1
02/09/2019,06:00:00,38,13.78,8.01,8.01,8.08,241.34, 7.54,33.28,1
02/09/2019,06:15:00,38,13.78,8.01,8.01,8.08,241.38, 7.54,33.28,1
02/09/2019,06:30:00,38,13.78,8.01,8.01,8.08,241.32, 7.54,33.28,1
02/09/2019,06:45:00,38,13.79,8.01,8.01,8.08,241.67, 7.55,33.26,1
02/09/2019,07:00:00,38,13.78,8.01,8.01,8.08,242.91, 7.59,33.24,1
02/09/2019,07:15:00,38,13.76,8.01,8.01,8.08,243.61, 7.61,33.22,1
02/09/2019,07:30:00,38,13.75,8.01,8.01,8.08,243.37, 7.61,33.23,1
02/09/2019,07:45:00,38,13.76,8.01,8.01,8.08,243.76, 7.62,33.24,1
02/09/2019,08:00:00,38,13.76,8.01,8.01,8.08,242.30, 7.57,33.25,1
02/09/2019,08:15:00,38,13.77,8.01,8.01,8.08,242.84, 7.59,33.25,1
02/09/2019,08:30:00,38,13.77,8.00,8.01,8.08,240.69, 7.52,33.28,1
02/09/2019,08:45:00,38,13.77,8.00,8.01,8.08,240.02, 7.50,33.28,1
02/09/2019,09:00:00,38,13.77,8.01,8.01,8.08,240.38, 7.51,33.28,1
02/09/2019,09:15:00,38,13.75,8.01,8.01,8.08,241.34, 7.54,33.28,1
02/09/2019,09:30:00,38,13.74,8.01,8.01,8.08,240.95, 7.53,33.29,1
02/09/2019,09:45:00,38,13.73,8.01,8.01,8.08,240.90, 7.53,33.29,1
02/09/2019,10:00:00,38,13.72,8.01,8.01,8.08,240.42, 7.51,33.30,1
02/09/2019,10:15:00,38,13.72,8.01,8.01,8.08,240.84, 7.53,33.29,1
02/09/2019,10:30:00,38,13.73,8.01,8.01,8.08,241.92, 7.56,33.29,1
02/09/2019,10:45:00,38,13.74,8.01,8.01,8.08,243.26, 7.60,33.24,1
02/09/2019,11:00:00,38,13.75,8.01,8.01,8.08,243.81, 7.62,33.25,1
02/09/2019,11:15:00,38,13.74,8.01,8.01,8.08,243.80, 7.62,33.24,1
02/09/2019,11:30:00,38,13.74,8.01,8.01,8.08,243.82, 7.62,33.24,1
02/09/2019,11:45:00,38,13.74,8.01,8.01,8.08,244.38, 7.64,33.22,1
02/09/2019,12:00:00,38,13.73,8.01,8.01,8.08,244.96, 7.66,33.18,1
02/09/2019,12:15:00,38,13.73,8.01,8.01,8.08,244.84, 7.65,33.19,1
