TIMESTEP,VTYPE,VID,SAMPLE,RUN,CS,TIME1,DO1,TEMP1,TIME2,DO2,TEMP2,TIME3,DO3,TEMP3,TIME4,DO4,TEMP4,TIME5,DO5,TEMP5,TIME6,DO6,TEMP6,TIME7,DO7,TEMP7,BW (g),WW (g),Diam,Height,GF,SOMF,GF_G,SOMF_SOM,GF_AFG,SOMF_AFSOM,Color,GrazingCorr_gWWperday,TRT,STYPE
1,S,7,1ASF01,1,S,11:07,7.73,12.7,11:14,7.25,12.6,11:22,6.75,12.5,11:30,6.32,12.5,11:37,5.96,12.5,11:46,5.56,12.5,11:53,5.28,12.5,1.4434,9.3913,29,19,NA,NA,NA,NA,NA,NA,NA,0.848451,1,S
1,S,9,1ASF02,1,S,11:08,7.99,12.6,11:15,7.67,12.6,11:23,7.3,12.5,11:30,7,12.5,11:38,6.76,12.5,11:47,6.46,12.5,11:54,6.314,12.5,0.8397,4.6797,21,15,NA,NA,NA,NA,NA,NA,NA,0.62226,1,S
1,L,21,1ASF03,1,S,11:04,7.74,12.7,11:17,7.21,12.6,11:25,6.96,12.5,11:33,6.78,12.5,11:40,6.62,12.5,11:49,6.4,12.5,11:56,6.29,12.5,1.4203,8.4353,23,13,NA,NA,NA,NA,NA,NA,NA,0.973547,1,S
1,S,3,1ASF04,2,S,12:45,8.17,12.6,12:52,7.72,12.6,12:59,7.3,12.6,13:07,6.96,12.5,13:13,6.69,12.5,13:20,6.44,12.5,13:27,6.19,12.5,1.1913,6.4965,24,13,NA,NA,NA,NA,NA,NA,NA,0.785654,1,S
1,S,5,1ASF05,1,S,11:06,8.69,12.7,11:13,8.52,12.6,11:22,8.38,12.5,11:29,8.29,12.5,11:36,8.17,12.5,11:46,8.06,12.5,11:53,7.98,12.5,0.2628,1.398,14,9,NA,NA,NA,NA,NA,NA,NA,0.124301,1,S
1,S,5,1ASF06,2,S,12:46,8.02,12.6,12:52,7.63,12.6,13:01,7.19,12.6,13:08,6.91,12.5,13:13,6.68,12.5,13:21,6.43,12.5,13:27,6.18,12.5,1.4247,8.0718,26,12,NA,NA,NA,NA,NA,NA,NA,0.836018,1,S
1,L,22,1ASF07,1,S,11:07,6.89,12.7,11:17,6.37,12.6,11:26,6.02,12.5,11:33,5.75,12.5,11:40,5.51,12.5,11:50,5.21,12.5,11:56,5.02,12.5,3.6775,18.5987,35,19,NA,NA,NA,NA,NA,NA,NA,NA,1,S
1,S,10,1ASF08,2,S,12:47,8.515,12.5,12:54,8.18,12.6,13:02,7.94,12.6,13:10,7.78,12.5,13:15,7.71,12.5,13:22,7.57,12.5,13:28,7.51,12.5,0.4338,2.5263,17,11,NA,NA,NA,NA,NA,NA,NA,0.244718,1,S
1,S,10,1BSF11,1,S,11:09,8.4,12.7,11:15,8.16,12.6,11:23,7.98,12.5,11:31,7.84,12.5,11:38,7.73,12.5,11:48,7.6,12.5,11:54,7.54,12.5,0.3161,1.7406,16,9,NA,NA,NA,NA,NA,NA,NA,0.111084,1,S
1,S,11,1BSF12,1,S,11:09,8.14,12.7,11:15,7.89,12.6,11:23,7.7,12.5,11:31,7.52,12.5,11:38,7.39,12.5,11:48,7.26,12.5,11:54,7.2,12.5,0.401,2.2481,16,9,NA,NA,NA,NA,NA,NA,NA,0.1725,1,S
1,S,13,1BSF13,8,S,14:33,7.77,12.6,14:38,7.35,12.6,14:44,7.16,12.6,14:50,6.79,12.6,14:56,6.49,12.6,15:02,6.19,12.6,15:09,5.94,12.6,1.1867,6.861,24,15,NA,NA,NA,NA,NA,NA,NA,0.762316,1,S
1,L,22,1BSF14,8,S,14:35,8.25,12.6,14:40,7.94,12.6,14:45,7.71,12.6,14:52,7.47,12.6,14:58,7.31,12.6,15:03,7.21,12.6,15:10,7.07,12.6,1.5576,8.4354,26,15,NA,NA,NA,NA,NA,NA,NA,1.082336,1,S
1,S,14,1BSF15,1,S,11:10,7.76,12.6,11:16,7.3,12.6,11:25,6.92,12.5,11:32,6.58,12.5,11:39,6.37,12.5,11:49,6.04,12.5,11:55,5.82,12.5,0.9829,5.3553,19,8,NA,NA,NA,NA,NA,NA,NA,0.637004,1,S
1,S,1,1BSF16,2,S,12:44,8.76,12.6,12:51,8.51,12.6,12:58,8.29,12.6,13:06,8.11,12.5,13:12,7.91,12.5,13:19,7.81,12.5,13:26,7.64,12.5,0.7235,3.7845,21,13,NA,NA,NA,NA,NA,NA,NA,0.283494,1,S
1,L,23,1BSF17,8,S,14:35,7.48,12.6,14:40,7.16,12.6,14:46,6.92,12.6,14:52,6.73,12.6,14:58,6.51,12.6,15:04,6.36,12.6,15:10,6.22,12.6,2.2383,11.9567,29,19,NA,NA,NA,NA,NA,NA,NA,1.620103,1,S
1,S,2,1BSF18,2,S,12:45,7.89,12.6,12:51,7.45,12.6,12:59,7.01,12.6,13:06,6.67,12.5,13:13,6.36,12.5,13:20,6.03,12.5,13:26,5.74,12.5,1.4265,8.9808,27,16,NA,NA,NA,NA,NA,NA,NA,0.745405,1,S
1,S,14,1CSF21,8,S,14:34,8.17,12.6,14:39,7.76,12.6,14:44,7.42,12.6,14:51,7.17,12.6,14:57,6.94,12.6,15:02,6.75,12.6,15:09,6.59,12.6,0.8738,5.0095,22,13,NA,NA,NA,NA,NA,NA,NA,0.534053,1,S
1,S,16,1CSF22,8,S,14:34,8.48,12.6,14:39,8.01,12.6,14:45,7.41,12.6,14:51,6.95,12.6,14:57,6.59,12.6,15:03,6.25,12.6,15:09,5.99,12.6,1.4445,7.6033,25,16,NA,NA,NA,NA,NA,NA,NA,1.622925,1,S
1,S,8,1CSF23,2,S,12:47,8.46,12.6,12:53,8.19,12.6,13:02,7.86,12.6,13:09,7.68,12.5,13:14,7.52,12.5,13:21,7.34,12.5,13:28,7.18,12.5,0.6433,3.5051,22,11,NA,NA,NA,NA,NA,NA,NA,0.471796,1,S
1,S,16,1CSF24,12,S,13:40,6.94,12.6,13:47,6.53,12.6,13:54,6.28,12.6,14:02,5.93,12.5,14:10,5.65,12.5,14:19,5.4,12.5,14:24,5.24,12.5,1.1771,7.2725,26,17,NA,NA,NA,NA,NA,NA,NA,1.09471,1,S
1,L,24,1CSF25,2,S,12:50,6.95,12.6,12:57,6.58,12.6,13:04,6.27,12.6,13:12,6,12.5,13:17,5.84,12.5,13:25,5.55,12.5,13:30,5.41,12.5,2.7992,16.9044,37,23,NA,NA,NA,NA,NA,NA,NA,NA,1,S
1,L,26,1CSF26,13,S,15:18,6.74,12.6,15:27,6.31,12.5,15:32,6.09,12.5,15:39,5.88,12.5,15:46,5.49,12.5,15:51,5.35,12.5,15:55,5.23,12.5,2.4095,15.8158,32,22,NA,NA,NA,NA,NA,NA,NA,1.84526534,1,S
1,L,25,1CSF27,2,S,12:50,7.49,12.6,12:58,7.16,12.6,13:05,6.93,12.6,13:12,6.75,12.5,13:17,6.61,12.5,13:26,6.43,12.5,13:31,6.34,12.5,1.817,10.9245,32,18,NA,NA,NA,NA,NA,NA,NA,1.184314088,1,S
1,S,2,2ASF01,7,S,13:08,7.44,12.6,13:13,7.26,12.6,13:19,7.08,12.6,13:25,6.93,12.6,13:31,6.8,12.6,13:36,6.69,12.6,13:42,6.56,12.6,0.8715,5.2517,23,15,NA,NA,NA,NA,NA,NA,NA,0.55209504,2,S
1,S,5,2ASF04,7,S,13:09,7.5,12.6,13:14,7.35,12.6,13:20,7.14,12.6,13:26,7.04,12.6,13:32,6.89,12.6,13:37,6.75,12.6,13:43,6.66,12.6,0.806,4.5903,22,15,NA,NA,NA,NA,NA,NA,NA,0.884384024,2,S
1,S,8,2ASF05,7,S,13:09,7.47,12.6,13:14,7.27,12.6,13:20,7.08,12.6,13:27,6.91,12.6,13:32,6.76,12.6,13:38,6.63,12.6,13:43,6.48,12.6,0.8808,5.0783,24,12,NA,NA,NA,NA,NA,NA,NA,NA,2,S
1,S,6,2ASF06,7,S,13:09,7.78,12.6,13:14,7.64,12.6,13:20,7.47,12.6,13:26,7.36,12.6,13:32,7.28,12.6,13:37,7.19,12.6,13:43,7.09,12.6,0.6921,3.8542,21,13,NA,NA,NA,NA,NA,NA,NA,0.352190161,2,S
1,S,9,2ASF08,7,S,13:09,8.02,12.7,13:15,7.94,12.6,13:21,7.81,12.6,13:27,7.75,12.6,13:32,7.66,12.6,13:38,7.6,12.6,13:44,7.55,12.6,0.3469,1.889,16,10,NA,NA,NA,NA,NA,NA,NA,0.280111663,2,S
1,S,10,2BSF11,7,S,13:10,8.04,12.6,13:15,7.89,12.6,13:21,7.79,12.6,13:27,7.68,12.6,13:33,7.64,12.6,13:38,7.58,12.6,,,,0.4328,2.314,17,10,NA,NA,NA,NA,NA,NA,NA,0.262998086,2,S
1,L,25,2BSF12,7,S,13:12,7.13,12.6,13:18,6.96,12.6,13:24,6.84,12.6,13:30,6.69,12.6,13:36,6.61,12.6,13:41,6.51,12.6,13:47,6.43,12.6,1.4702,8.0993,29,19,NA,NA,NA,NA,NA,NA,NA,1.109909561,2,S
1,S,11,2BSF13,7,S,13:10,7.86,12.6,13:15,7.73,12.6,13:21,7.63,12.6,13:28,7.58,12.6,13:33,7.5,12.6,13:39,7.45,12.6,13:44,7.42,12.6,0.3252,1.6463,16,9,NA,NA,NA,NA,NA,NA,NA,0.195513563,2,S
1,S,4,2BSF14,8,S,14:30,7.75,12.6,14:36,7.38,12.6,14:41,7.15,12.6,14:48,6.89,12.6,14:54,6.67,12.6,15:00,6.51,12.6,15:05,6.34,12.6,1.3933,7.681,25,14,NA,NA,NA,NA,NA,NA,NA,1.050220108,2,S
1,S,2,2BSF15,8,S,14:30,7.46,12.6,14:36,7,12.6,14:41,6.71,12.6,14:47,6.37,12.6,14:53,6.07,12.6,14:59,5.75,12.6,15:05,5.53,12.6,1.6081,9.4838,27,19,NA,NA,NA,NA,NA,NA,NA,1.461950225,2,S
1,S,13,2BSF16,7,S,13:11,7.44,12.6,13:16,7.16,12.6,13:22,6.82,12.6,13:28,6.59,12.6,13:34,6.31,12.6,13:39,6.13,12.6,13:45,5.93,12.6,1.1029,5.8973,24,14,NA,NA,NA,NA,NA,NA,NA,0.600787246,2,S
1,S,3,2BSF17,8,S,14:30,7.8,12.6,14:36,7.41,12.6,14:41,7.19,12.6,14:47,6.99,12.6,14:53,6.8,12.6,15:00,6.6,12.6,15:05,6.44,12.6,1.1486,6.9028,25,15,NA,NA,NA,NA,NA,NA,NA,1.074492138,2,S
1,L,21,2BSF18,8,S,14:34,7.15,12.6,14:39,6.95,12.6,14:45,6.8,12.6,14:52,6.67,12.6,14:58,6.55,12.6,15:03,6.46,12.6,15:10,6.35,12.6,1.5085,7.8178,27,19,NA,NA,NA,NA,NA,NA,NA,1.028722403,2,S
1,S,8,2CSF21,8,S,14:32,8.01,12.6,14:37,7.69,12.6,14:42,7.49,12.6,14:49,7.29,12.6,14:55,7.12,12.6,15:01,6.99,12.6,15:06,6.85,12.6,0.916,5.0286,22,12,NA,NA,NA,NA,NA,NA,NA,0.652620972,2,S
1,S,9,2CSF22,8,S,14:32,7.88,12.6,14:37,7.48,12.6,14:43,7.19,12.6,14:49,6.93,12.6,14:55,6.69,12.6,15:01,6.49,12.6,15:07,6.32,12.6,1.3838,7.5823,30,17,NA,NA,NA,NA,NA,NA,NA,1.105659636,2,S
1,S,10,2CSF23,8,S,14:32,8.18,12.6,14:38,7.83,12.6,14:43,7.64,12.6,14:49,7.4,12.6,14:56,7.19,12.6,15:01,7.07,12.6,15:07,6.9,12.6,0.8724,5.0133,23,12,NA,NA,NA,NA,NA,NA,NA,0.651691916,2,S
1,S,11,2CSF24,8,S,14:33,7.88,12.6,14:38,7.58,12.6,14:43,7.34,12.6,14:50,7.1,12.6,14:56,6.92,12.6,15:02,6.77,12.6,15:07,6.65,12.6,0.8325,4.5965,22,15,NA,NA,NA,NA,NA,NA,NA,0.715355411,2,S
1,S,12,2CSF25,8,S,14:33,8.1,12.6,14:38,7.82,12.6,14:43,7.64,12.6,14:50,7.45,12.6,14:56,7.36,12.6,15:02,7.23,12.6,15:08,7.12,12.6,0.4266,2.3372,17,9,NA,NA,NA,NA,NA,NA,NA,0.398790468,2,S
1,S,6,2CSF26,8,S,14:31,8.27,12.6,14:36,8.06,12.6,14:42,7.9,12.6,14:48,7.81,12.6,14:54,7.7,12.6,15:00,7.62,12.6,15:06,7.55,12.6,0.3754,2.1222,17,10,NA,NA,NA,NA,NA,NA,NA,0.368236246,2,S
1,L,23,2CSF28,14,S,16:22,7.47,12.6,16:25,7.21,12.6,16:30,6.87,12.6,16:40,6.37,12.5,16:46,6.08,12.5,16:52,5.9,12.5,16:58,5.66,12.5,3.4053,20.778,38,19,NA,NA,NA,NA,NA,NA,NA,NA,2,S
