// Site Name:	SWC
// Sensor:	SAT333
// QF follow QARTOD. 1 = pass, 2 = not evaluated, 3 = Suspect, 4 = Fail

Date_UTC,Time_UTC,Depth,Temperature,pH_int,pH_extT,pH_extF,OxyUM,OxymgL,Sal,QC
05/22/2016,14:15:00,30,11.98,7.67,7.66,7.73,133.86, 4.18,33.60,1
05/22/2016,14:30:00,30,11.90,7.66,7.65,7.72,132.70, 4.15,33.60,1
05/22/2016,14:45:00,30,11.83,7.66,7.65,7.71,131.66, 4.11,33.62,1
05/22/2016,15:00:00,30,11.75,7.65,7.64,7.71,130.01, 4.06,33.63,1
05/22/2016,15:15:00,30,11.67,7.64,7.63,7.70,128.49, 4.02,33.64,1
05/22/2016,15:30:00,30,11.58,7.64,7.63,7.69,126.34, 3.95,33.66,1
05/22/2016,15:45:00,30,11.49,7.63,7.62,7.69,124.10, 3.88,33.67,1
05/22/2016,16:00:00,30,11.40,7.62,7.61,7.68,121.76, 3.81,33.68,1
05/22/2016,16:15:00,30,11.33,7.62,7.61,7.67,119.70, 3.74,33.70,1
05/22/2016,16:30:00,30,11.27,7.61,7.60,7.67,118.11, 3.69,33.72,1
05/22/2016,16:45:00,30,11.21,7.61,7.60,7.66,116.78, 3.65,33.73,1
05/22/2016,17:00:00,30,11.17,7.61,7.59,7.66,116.31, 3.63,33.74,3
05/22/2016,17:15:00,30,11.13,7.60,7.59,7.66,115.41, 3.61,33.74,1
05/22/2016,17:30:00,30,11.10,7.60,7.59,7.65,114.67, 3.58,33.75,1
05/22/2016,17:45:00,30,11.09,7.61,7.59,7.66,116.56, 3.64,33.72,1
05/22/2016,18:00:00,30,11.21,7.64,7.63,7.69,123.82, 3.87,33.67,3
05/22/2016,18:15:00,30,11.54,7.69,7.68,7.74,135.23, 4.23,33.60,3
05/22/2016,18:30:00,30,12.01,7.74,7.73,7.80,148.65, 4.65,33.52,1
05/22/2016,18:45:00,30,12.53,7.79,7.78,7.85,161.28, 5.04,33.46,1
05/22/2016,19:00:00,30,13.03,7.83,7.82,7.89,171.80, 5.37,33.41,3
05/22/2016,19:15:00,30,13.47,7.86,7.85,7.92,180.12, 5.63,33.37,1
05/22/2016,19:30:00,30,13.82,7.88,7.87,7.94,186.63, 5.83,33.35,1
05/22/2016,19:45:00,30,14.11,7.90,7.89,7.96,191.73, 5.99,33.33,1
05/22/2016,20:00:00,30,14.33,7.91,7.90,7.97,195.27, 6.10,33.31,1
05/22/2016,20:15:00,30,14.50,7.92,7.91,7.98,198.17, 6.19,33.30,1
05/22/2016,20:30:00,30,14.63,7.93,7.91,7.99,199.97, 6.25,33.29,1
05/22/2016,20:45:00,30,14.72,7.93,7.92,7.99,201.36, 6.29,33.29,1
05/22/2016,21:00:00,30,14.79,7.93,7.92,8.00,202.68, 6.33,33.29,1
05/22/2016,21:15:00,30,14.83,7.94,7.93,8.00,203.07, 6.35,33.29,1
05/22/2016,21:30:00,30,14.84,7.94,7.93,8.00,204.17, 6.38,33.30,1
05/22/2016,21:45:00,30,14.82,7.94,7.93,8.00,205.07, 6.41,33.30,1
05/22/2016,22:00:00,30,14.78,7.94,7.93,8.01,206.10, 6.44,33.31,1
05/22/2016,22:15:00,30,14.73,7.94,7.93,8.01,206.89, 6.47,33.31,1
05/22/2016,22:30:00,30,14.68,7.94,7.93,8.01,206.73, 6.46,33.32,1
05/22/2016,22:45:00,30,14.59,7.93,7.92,8.00,203.41, 6.36,33.35,1
05/22/2016,23:00:00,30,14.44,7.91,7.90,7.98,196.41, 6.14,33.37,1
05/22/2016,23:15:00,30,14.23,7.89,7.88,7.95,189.16, 5.91,33.40,1
05/22/2016,23:30:00,30,13.99,7.87,7.86,7.93,182.29, 5.70,33.43,1
05/22/2016,23:45:00,30,13.74,7.85,7.84,7.91,177.10, 5.53,33.46,1
05/23/2016,00:00:00,30,13.49,7.83,7.82,7.89,172.13, 5.38,33.48,1
05/23/2016,00:15:00,30,13.26,7.81,7.80,7.87,167.77, 5.24,33.49,1
05/23/2016,00:30:00,30,13.05,7.80,7.79,7.86,163.88, 5.12,33.51,1
05/23/2016,00:45:00,30,12.86,7.79,7.77,7.84,160.22, 5.01,33.52,1
05/23/2016,01:00:00,30,12.70,7.77,7.76,7.83,157.15, 4.91,33.53,1
05/23/2016,01:15:00,30,12.55,7.76,7.75,7.82,154.75, 4.84,33.53,1
05/23/2016,01:30:00,30,12.43,7.76,7.74,7.81,153.17, 4.79,33.54,1
05/23/2016,01:45:00,30,12.32,7.75,7.74,7.81,151.67, 4.74,33.54,1
05/23/2016,02:00:00,30,12.24,7.74,7.73,7.80,150.07, 4.69,33.55,1
05/23/2016,02:15:00,30,12.17,7.74,7.72,7.79,147.78, 4.62,33.57,1
05/23/2016,02:30:00,30,12.12,7.73, NaN, NaN,   NaN,  NaN,  NaN,1
05/23/2016,02:45:00,30,12.09,7.73, NaN, NaN,   NaN,  NaN,  NaN,1
05/23/2016,03:00:00,30,11.98,7.71,7.69,7.76,139.39, 4.36,33.61,1
05/23/2016,03:15:00,30,11.90,7.70,7.69,7.75,136.99, 4.28,33.62,1
05/23/2016,03:30:00,30,11.82,7.69,7.68,7.74,135.24, 4.23,33.63,1
05/23/2016,03:45:00,30,11.73,7.68,7.67,7.74,133.80, 4.18,33.63,1
05/23/2016,04:00:00,30,11.65,7.68,7.66,7.73,132.49, 4.14,33.63,1
05/23/2016,04:15:00,30,11.58,7.67,7.66,7.73,131.48, 4.11,33.64,1
05/23/2016,04:30:00,30,11.51,7.67,7.66,7.72,130.63, 4.08,33.64,1
